COMPANY NAME,TRENT LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,4407.95,,,,,,,,,
Market Capitalization,156665.75,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,2284.25,1686.17,1812.44,2157.46,2630.24,3485.98,2592.96,4498.02,8242.02,12375.11
Raw Material Cost,1326.61,810.2,911.22,1070.02,1459.67,1951.64,1371.64,2920.38,5211.05,7123.6
Change in Inventory,-2.34,14.59,29.86,38.51,148.23,69.89,-162.36,438.84,491.31,164.71
Power and Fuel,52.63,48.92,51.28,52.75,59.18,66.64,49.41,71.89,144.28,
Other Mfr. Exp,77.98,76.42,81.91,90.78,122.09,97.51,92,127.14,211.99,
Employee Cost,208.41,165.69,194.72,233.02,288.89,361.01,303.4,402.92,659.07,1036.64
Selling and admin,431.85,444.06,407.07,450.61,514.41,436.82,364.62,705.03,1252.53,1089.15
Other Expenses,96.63,65.71,62.57,90.29,93.59,113.28,135.66,114.78,140.26,1368.3
Other Income,208.37,86.44,81.31,27.47,30.14,146.63,199.4,152.16,340.66,988.91
Depreciation,74.7,38.59,41.29,45.53,51.67,247.24,257.3,310.82,493.69,671.11
Interest,21.97,47.73,45.55,43.78,50.64,263.37,260.79,324.84,408.99,319.1
Profit before tax,199.5,89.88,128,146.66,168.47,164.99,-204.82,111.22,552.13,1920.83
Tax,70.07,34.71,43.05,59.62,73.61,59.01,-23.69,76.62,158.44,443.37
Net profit,129.33,55.1,84.86,86.97,96.96,122.85,-146.17,105.83,444.69,1486.8
Dividend Amount,33.23,29.91,33.23,38.21,43.2,35.55,21.33,60.44,78.21,113.76
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1499.08,1328.86,1803.15,1952.74,2303.38,2182.75,2628.37,2982.42,3466.62,3297.7
Expenses,1226.44,1203.84,1511.53,1696.93,1980.19,1979.73,2260.97,2525.85,2838.1,2828.06
Other Income,41.8,44.11,77.84,83.88,90.7,88.91,78.61,105.42,110.01,694.87
Depreciation,80.46,88.98,127.33,111.61,118.18,136.57,141.42,152.22,164.53,212.94
Interest,76.72,81.43,95.43,90.95,91.25,91.59,92.3,95.45,98.81,32.54
Profit before tax,157.26,-1.28,146.7,137.13,204.46,63.77,212.29,314.32,475.19,919.03
Tax,43.48,19.59,31.77,58.19,49.65,18.82,45.62,86.26,104.55,206.94
Net profit,139.69,0.16,130.51,93.02,167,54.1,173.48,234.73,374.36,704.23
Operating Profit,272.64,125.02,291.62,255.81,323.19,203.02,367.4,456.57,628.52,469.64
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,33.23,33.23,33.23,33.23,33.23,35.55,35.55,35.55,35.55,35.55
Reserves,1388.73,1431.16,1514.46,1562.14,1613.28,2352.22,2277.48,2328.45,2559.94,4032.19
Borrowings,266.85,399.8,391.74,391.43,494.14,299.74,299.93,4725.36,4464.14,1752.99
Other Liabilities,517.73,292.4,282.82,349.06,418.11,2819.17,3110.77,636.66,1021.9,1341.02
Total,2206.54,2156.59,2222.25,2335.86,2558.76,5506.68,5723.73,7726.02,8081.53,7161.75
Net Block,668.46,476.79,548.71,612.53,662.18,2738.43,3053.82,4686.71,4526.95,2449.92
Capital Work in Progress,92.13,54.86,5.48,9.59,87.18,23.32,107.98,104.72,101.72,223.78
Investments,739.72,1066.97,1079.96,1022.88,882.83,1514.78,1487.29,1283.72,1109.87,1416.03
Other Assets,706.23,557.97,588.1,690.86,926.57,1230.15,1074.64,1650.87,2342.99,3072.02
Total,2206.54,2156.59,2222.25,2335.86,2558.76,5506.68,5723.73,7726.02,8081.53,7161.75
Receivables,17.69,12.99,5.92,15.1,16.54,17.12,20.77,18.26,34.39,81.74
Inventory,329.85,279.19,305.36,344.77,497.01,607.81,428.39,867.78,1361.16,1582.73
Cash & Bank,55.5,26.9,34.28,32.81,54.23,61.41,81.47,85.97,86.3,297.56
No. of Equity Shares,33231544,33231673,332316730,332316730,332316730,355487461,355487461,355487461,355487461,
New Bonus Shares,,,,,,,,,,
Face value,10,10,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-10.1,109.42,102.44,76.86,20.98,361.16,285.03,58.08,594.88,1348.98
Cash from Investing Activity,-306.2,-98.4,-43.7,-4.02,-37.03,-808.56,17.71,56.03,-102.63,-508.22
Cash from Financing Activity,309.87,-13.33,-51.36,-74.31,37.47,451.94,-283.11,-107.98,-491.41,-629.45
Net Cash Flow,-6.43,-2.31,7.38,-1.47,21.42,4.54,19.63,6.13,0.84,211.31
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
