COMPANY NAME,TRIVENI ENGINEERING AND INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,347.85,,,,,,,,,
Market Capitalization,7624.03,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,3152.96,2060.73,1914.94,2824.28,3370.18,3151.74,4436.63,4674.17,4290.94,5616.84
Raw Material Cost,3209.74,1469.93,1529.23,2080.06,2598.39,2771.15,3033.06,3237.02,3140.96,3997.77
Change in Inventory,837.62,-172.39,141.91,239.51,8.66,539.82,-218.83,-199.14,281.77,-88.72
Power and Fuel,29.4,22.84,22.26,18.07,18.31,17.54,15.75,23.29,25.01,19.32
Other Mfr. Exp,243.69,163.19,127.83,164.13,185.66,221.86,218.91,225.62,290.56,354.99
Employee Cost,214.71,152.88,159.28,188.22,202.79,225.38,257.65,272.73,305.18,349.86
Selling and admin,99.86,66.75,61.38,69.78,75.05,82.66,118.72,127.62,117.38,149.16
Other Expenses,122.75,30.64,31.21,21.17,22.43,63.57,30.33,26.31,57.59,39.47
Other Income,44.89,29.77,40.82,-36.48,33.32,83.35,56.45,28.04,73,1496.3
Depreciation,118.78,59.22,58.83,57.21,55.36,56.95,74.89,79.09,80.75,93.48
Interest,187.46,122.08,114.97,126.55,85.34,67.99,79.33,51.63,54.53,56.74
Profit before tax,-190.92,-169.42,-7.32,302.12,168.83,267.81,445.61,459.76,573.75,1963.63
Tax,-14.6,-17.36,-0.04,49.17,49.7,51.52,110.49,165.16,149.69,171.83
Net profit,-176.33,-152.06,-7.29,252.96,119.14,216.28,335.12,294.6,424.06,1791.81
Dividend Amount,,,,,6.45,18.05,27.27,42.32,78.58,71.14
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1068.46,1115.69,1070.03,1225.67,1345.89,1462.72,1582.56,1197.94,1408.84,1311.18
Expenses,961.19,912.85,895.33,1111.78,1300.51,1269.34,1319.29,1073.06,1346.08,1118.37
Other Income,46.6,14.75,3.58,18.23,1420.87,37.27,21.57,12.21,12.35,21.91
Depreciation,20.28,20.45,20.26,21.79,23.41,23.81,24.47,25.26,25.76,26.16
Interest,12.13,12.15,14.61,21.65,17.16,8.13,9.8,20.83,10.19,6.47
Profit before tax,121.46,184.99,143.41,88.68,1425.68,198.71,250.57,91,39.16,182.09
Tax,28.99,54.87,34.24,22.23,37.92,51.43,60.26,23.39,10.05,44.69
Net profit,92.47,130.12,109.17,66.45,1387.76,147.28,190.31,67.61,29.11,137.4
Operating Profit,107.27,202.84,174.7,113.89,45.38,193.38,263.27,124.88,62.76,192.81
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,25.79,25.79,25.79,25.79,25.79,25.79,24.79,24.18,24.18,21.89
Reserves,813.57,633.02,561.29,809.59,920.56,1114.73,1313.87,1531.5,1888.68,2643.36
Borrowings,1176.33,1472.01,1678.38,1721.13,1239.74,1684.35,1530.1,990.48,1575.06,929.26
Other Liabilities,1005.16,833.91,740.43,554.17,849.9,985,1181.16,1077.53,814.8,864.86
Total,3020.85,2964.73,3005.89,3110.68,3035.99,3809.87,4049.92,3623.69,4302.72,4459.37
Net Block,950.34,875.45,861.95,858.33,846.63,842.1,1086.54,1073,1077.47,1469.69
Capital Work in Progress,1.82,18.42,9.34,2.11,10.05,204.77,26.16,22.23,256.55,28.31
Investments,68.4,80.87,98.63,108.64,116.26,112.68,141.66,145.66,193.4,6.16
Other Assets,2000.29,1989.99,2035.97,2141.6,2063.05,2650.32,2795.56,2382.8,2775.3,2955.21
Total,3020.85,2964.73,3005.89,3110.68,3035.99,3809.87,4049.92,3623.69,4302.72,4459.37
Receivables,228.07,232.81,254.1,277.1,311.4,237.38,267.96,208.39,266.8,391.96
Inventory,1403.33,1236.19,1412.35,1677.89,1583.03,2123.48,1916.21,1737.77,2042.49,2001.79
Cash & Bank,14.63,6.58,4.93,7.42,6.41,19.02,32.88,12.6,27.9,79.55
No. of Equity Shares,257908150,257953110,257953110,257953110,257953110,257953110,247953110,241763110,241763110,218913968
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,23.13,-140.76,-93.15,144.64,620.79,-168.7,510.35,790.83,-173.39,397.44
Cash from Investing Activity,14.16,-32.66,-28.48,-38.84,-40.78,-214.74,-107.24,-107.86,-256.75,1413.65
Cash from Financing Activity,-39.6,171.56,119.4,-102.1,-582.91,394.39,-385.69,-703.73,442.14,-1762.35
Net Cash Flow,-2.31,-1.86,-2.22,3.71,-2.91,10.95,17.42,-20.76,12.01,48.73
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
