COMPANY NAME,TUBE INVESTMENTS OF INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,3948.35,,,,,,,,,
Market Capitalization,76664.95,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,4479.42,4999.95,5773.05,4750.39,6083.29,12447.43,14964.73
Raw Material Cost,,,,2749.99,2997.3,3571.98,2560.97,3749.68,8419.65,9858.16
Change in Inventory,,,,115.44,-0.89,38.6,-142.83,107.65,131.5,27.9
Power and Fuel,,,,157.51,176.39,194.37,157.41,163.52,240.1,273.47
Other Mfr. Exp,,,,408.91,432.48,445.07,368.93,438.58,697.81,826.06
Employee Cost,,,,514.6,564.55,607.28,611.63,734.57,1036.69,1206.29
Selling and admin,,,,299.64,351.95,358.87,265.5,281.13,599.28,689.14
Other Expenses,,,,58.12,102.59,101.19,61.34,182.57,135.16,256.17
Other Income,,,,40.96,55.31,62.33,40.35,69.58,147.13,317.95
Depreciation,,,,148.9,153.54,161.58,185.27,251.3,346.58,395.86
Interest,,,,77.05,61.74,56,33.65,46.95,98.92,57.78
Profit before tax,,,,221.1,213.83,377.64,403.21,412.22,1151.87,1747.65
Tax,,,,46.75,58.32,126.81,89.94,107.53,160.83,422.59
Net profit,,,,167.62,147.39,240.42,306.34,286.32,768.83,955.58
Dividend Amount,,,,,24.38,46.92,65.76,67.48,67.52,67.58
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,3262.76,3410.1,3392.93,3776.35,3766.98,3643.16,3778.24,3897.66,4305.62,4196.94
Expenses,2882.7,2969.29,3041.94,3379.34,3256.24,3173.67,3287.46,3430.78,3743.67,3728.07
Other Income,26.37,45.66,36.76,28.96,6.87,95.31,186.81,42.02,58.85,609.32
Depreciation,91.39,91.04,75.86,85.18,91.63,94.64,124.41,109.18,118.15,123.33
Interest,20.72,21.76,19.59,8.61,11.88,10.54,11.43,10.74,13.08,13.45
Profit before tax,294.32,373.67,292.3,332.18,414.1,459.62,541.75,388.98,489.57,941.41
Tax,62.34,-16.37,67.08,85.64,137.17,135.44,64.35,105.38,148.57,117.55
Net profit,186.05,278.88,178.8,194.56,213.89,235.29,311.84,214.88,263.37,531.06
Operating Profit,380.06,440.81,350.99,397.01,510.74,469.49,490.78,466.88,561.95,468.87
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,0.11,18.74,18.75,18.77,18.79,19.28,19.29,19.31
Reserves,,,-0.06,1168.85,1253.56,1456.63,1714.91,2152.5,3051.79,3931.32
Borrowings,,,,850.56,776.36,611.29,414.24,1972.4,870.91,726.07
Other Liabilities,,,,1096.8,1262.94,1262.7,932.33,4892.15,4932.27,5543.31
Total,,,0.05,3134.95,3311.61,3349.39,3080.27,9036.33,8874.26,10220.01
Net Block,,,,1306.2,1357.66,1428.83,1514.6,3477.45,3324.47,3592.62
Capital Work in Progress,,,,33.87,90.1,68.86,58.49,135.34,128.28,191.37
Investments,,,,201.68,133.54,132.45,185.8,369.06,541.76,729.24
Other Assets,,,0.05,1593.2,1730.31,1719.25,1321.38,5054.48,4879.75,5706.78
Total,,,0.05,3134.95,3311.61,3349.39,3080.27,9036.33,8874.26,10220.01
Receivables,,,,614.99,697.01,648.13,524.64,1278.52,1785.34,2128.9
Inventory,,,,731.27,760.86,814.79,558.62,1109.36,1327.11,1352.91
Cash & Bank,,,0.05,23.94,32.46,56.01,37.81,575.54,572.66,953.6
No. of Equity Shares,,,110000,187447871,187536368,187711281,187875429,192816871,193121076,193121076
New Bonus Shares,,,,,,,,,,
Face value,,,10,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,-0.01,382.88,409.07,493.39,596.06,268.44,895.58,1385.69
Cash from Investing Activity,,,0.06,316,-181.09,-195.64,-245.89,-62.95,-78.7,-849.87
Cash from Financing Activity,,,,-684.57,-290.81,-280.37,-284.12,285.71,-920.85,-74.68
Net Cash Flow,,,0.05,14.31,-62.83,17.38,66.05,491.2,-103.97,461.14
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,222.4,383.2,273.9,1193.35,1624.7,2546.6
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,18.75,18.77,18.79,19.28,19.3,19.31
