COMPANY NAME,UNIPARTS INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,520.5,,,,,,,,,
Market Capitalization,2349.65,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2014-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,804.55,1060.57,907.22,903.14,1227.42,1366.02
Raw Material Cost,,,,,309.49,428.28,332.32,338.18,501.26,496.68
Change in Inventory,,,,,-7.93,55.96,3.53,-14.71,99.7,9.15
Power and Fuel,,,,,30.96,37.67,34.25,33.34,47.73,50.95
Other Mfr. Exp,,,,,74.19,171.73,131.81,120.23,165.05,161.86
Employee Cost,,,,,158.22,221.94,211.84,185.56,219.8,239.95
Selling and admin,,,,,123.88,103.14,72.75,75.18,127.61,121.08
Other Expenses,,,,,10.09,15.83,31.58,15.74,-2.5,6.78
Other Income,,,,,1.63,1.91,31.62,43.73,3.49,15.36
Depreciation,,,,,16.63,30.1,35.44,37.26,36.65,39.03
Interest,,,,,14.68,18.2,17.97,8.11,5.7,5.97
Profit before tax,,,,,60.11,91.55,74.41,118.56,229.31,268.23
Tax,,,,,16.55,21.96,11.76,27.34,60.53,63.33
Net profit,,,,,43.56,69.6,62.64,91.21,168.78,204.89
Dividend Amount,,,,,4.63,5.35,,14.72,41.05,63.58
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,,302.52,346.53,346.84,359.76,331.18,328.24,296.77,293.68,259.21
Expenses,,235.68,276.54,271.65,280.13,252.29,264.94,237.46,240.06,218.13
Other Income,,2.29,0.32,0.92,1.82,6.64,6.85,0.88,1.02,3.35
Depreciation,,9.18,9.48,9.59,9.87,10.09,9.48,9.95,10.46,10.87
Interest,,1.45,1.47,1.34,1.76,1.64,1.23,1.14,1.07,1.33
Profit before tax,,58.5,59.36,65.18,69.82,73.8,59.44,49.1,43.11,32.23
Tax,,14.59,14.05,14.67,17.06,17.49,14.12,12,10.11,6.28
Net profit,,43.92,45.31,50.52,52.76,56.31,45.31,37.11,33,25.95
Operating Profit,,66.84,69.99,75.19,79.63,78.89,63.3,59.31,53.62,41.08
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2014-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,22.05,44.62,44.62,44.62,44.62,44.62
Reserves,,,,,224.47,377.36,419.55,513.63,640.62,786
Borrowings,,,,,212.3,391.93,298.4,162.17,157.93,61.01
Other Liabilities,,,,,149.35,147.29,141.45,180.79,204.87,182.27
Total,,,,,608.17,961.2,904.02,901.21,1048.04,1073.9
Net Block,,,,,256.6,355.5,339.85,322.42,324.71,336.86
Capital Work in Progress,,,,,2.38,8.88,9.95,2.29,2.2,7.27
Investments,,,,,,,,1.25,,25.02
Other Assets,,,,,349.19,596.82,554.22,575.25,721.13,704.75
Total,,,,,608.17,961.2,904.02,901.21,1048.04,1073.9
Receivables,,,,,81.97,145.36,122.84,167.53,194.23,155.33
Inventory,,,,,217.74,370.23,358.19,347.02,458.8,469.58
Cash & Bank,,,,,7.81,15.09,16.96,10.82,14,38.68
No. of Equity Shares,,,,,22053000,44620000,44620000,44620000,44620000,44620000
New Bonus Shares,,,,,,,,,,
Face value,,,,,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2014-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,-5.65,133.07,152.76,84.87,252.75
Cash from Investing Activity,,,,,,-113.26,-7.99,-17.47,-32.37,-52.82
Cash from Financing Activity,,,,,,124.86,-123.21,-141.42,-49.32,-175.25
Net Cash Flow,,,,,,5.94,1.86,-6.14,3.18,24.68
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,539.35
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,2.26,4.51,4.51,4.51,4.51,4.51
