COMPANY NAME,UNO MINDA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,725.35,,,,,,,,,
Market Capitalization,41640.81,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1706.13,2232.09,2527.34,3386.26,4470.56,5908.09,6222.03,6373.74,8313,11236.49
Raw Material Cost,1179.72,1490.69,1627.43,2122.92,2796.23,3658.75,3828,3985.19,5353.2,7445.72
Change in Inventory,8.56,7.47,17.65,6.52,33.05,36.27,17.72,65.9,81.2,221.26
Power and Fuel,43.3,48.11,54.61,87.88,111.45,149.09,148.49,149.85,208.97,331.86
Other Mfr. Exp,67.99,105.08,118.2,149.75,205.88,253.98,241.77,232.02,304.46,386.26
Employee Cost,224.85,287.86,326.45,451.55,587.1,791.83,944.36,982.26,1207.02,1460.84
Selling and admin,88.83,133.38,141.44,170.16,207.74,266.88,293.69,286.1,363.54,510.48
Other Expenses,32.18,20.1,39.03,36.53,60.1,97.78,110.43,79.23,71.62,80.61
Other Income,18.36,32.95,19.17,13.82,70.3,26.16,4.82,48.76,128.1,148.82
Depreciation,59.08,83.49,92.62,136.17,164.85,234.38,340.07,375.3,391.75,429.93
Interest,24.18,25.01,25.68,39.75,35.09,63.15,94.17,73.65,62.32,69.52
Profit before tax,12.92,78.79,138.7,211.89,405.47,454.68,243.59,324.8,559.42,891.35
Tax,7.59,19.38,27.74,46.47,97.69,134.07,68.62,100.53,146.78,191.12
Net profit,7.18,67.97,111.14,165.17,310.19,285.62,155.18,206.63,355.8,653.55
Dividend Amount,4.76,9.52,11.11,17.46,24.37,28.84,10.49,23.12,42.84,85.95
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,2113.99,2181.38,2415.08,2555.19,2876.84,2915.49,2888.97,3092.66,3621.3,3522.91
Expenses,1886.12,1946.06,2139.58,2289.33,2558.4,2577.09,2569.69,2762.6,3219.75,3143.3
Other Income,21.06,32.01,52.69,31.4,44.87,29.01,43.54,38.16,62.11,51.61
Depreciation,96.79,94.19,110.28,99.47,107.23,114.95,108.28,119.01,125.4,132.56
Interest,17.65,12.67,13.47,16.82,19.15,12.58,20.97,25.18,27.21,28.64
Profit before tax,134.49,160.47,204.44,180.97,236.93,239.88,233.57,224.03,311.05,270.02
Tax,42.29,42.31,48.26,31.1,54.58,65.93,39.51,43.86,73.34,64.91
Net profit,94.72,101.29,144.37,138.79,170.12,161.99,182.65,172.75,224.99,193.46
Operating Profit,227.87,235.32,275.5,265.86,318.44,338.4,319.28,330.06,401.55,379.61
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,15.87,15.87,15.87,15.87,17.41,52.44,52.44,54.39,57.12,114.6
Reserves,291.96,345.91,452.34,1043.58,1374.28,1651.72,1808.64,2202.18,3381.33,4041.26
Borrowings,304.21,232.48,392.64,509.51,594.02,1079.6,1316.7,1159.23,948.17,1395.3
Other Liabilities,369.38,402.35,626,828.68,1379.4,1446.87,2403.07,2561.63,2411.25,2715.95
Total,981.42,996.61,1486.85,2397.64,3365.11,4230.63,5580.85,5977.43,6797.87,8267.11
Net Block,400.54,411.24,572.74,884.87,1350.5,1861.16,2674.23,2796.77,2804.68,3316.11
Capital Work in Progress,21.87,9.32,130.11,116.95,210.79,150.13,360.04,134.3,346.52,292.73
Investments,47.47,28.36,43.62,111.12,155.23,355.58,398.32,531.09,606.71,869.22
Other Assets,511.54,547.69,740.38,1284.7,1648.59,1863.76,2148.26,2515.27,3039.96,3789.05
Total,981.42,996.61,1486.85,2397.64,3365.11,4230.63,5580.85,5977.43,6797.87,8267.11
Receivables,261.04,289.46,363.91,499.55,789.73,899.22,863.24,1198.82,1376.65,1723.3
Inventory,124.67,140.59,183.84,237.56,417.52,560.97,609.52,750.56,1046.43,1331.43
Cash & Bank,27.76,28.02,56.66,374.16,159.47,110.06,340.91,238.18,234.2,173.23
No. of Equity Shares,15865356,15865356,15865356,79326780,87041155,262216965,262216965,271928704,285620441,573013714
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,41.64,135.4,146.25,334.62,364,413.97,1048.55,342.71,382.88,798.22
Cash from Investing Activity,-136.78,-39.14,-256.93,-267.3,-639.93,-815.24,-809.86,-360.53,-697.22,-1180.14
Cash from Financing Activity,80.18,-98.39,123.37,252.84,44,368.48,-95.9,-40.24,311,301.01
Net Cash Flow,-14.96,-2.12,12.69,320.16,-231.93,-32.79,142.79,-58.06,-3.34,-80.91
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
