COMPANY NAME,VRL LOGISTICS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,548.7,,,,,,,,,
Market Capitalization,4796.81,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1493.79,1672.83,1722.52,1803.09,1922.32,2109.54,2118.54,1762.92,2163.56,2648.52
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,3.2,3.51,4.37,477.62,502.29,586.16,582.96,518.71,653.37,818
Other Mfr. Exp,238.72,276.08,308.28,779.94,778.74,851.1,790.85,637.61,746.03,960.79
Employee Cost,174.5,198.04,240.96,266.16,345.85,366.78,380.62,314.76,347.02,415
Selling and admin,867.07,917.3,894.79,57.89,58.36,58.02,56.86,40.5,37.42,48.2
Other Expenses,1.61,0.64,2.55,1.93,2.26,2.64,3.96,3.27,3.75,2.71
Other Income,15.84,7.91,8.5,8.57,14.23,7.57,5.88,12.86,20.77,171.13
Depreciation,86.62,87.66,89.7,98.18,97.63,100.58,167.53,159.79,144.5,159.14
Interest,61.15,59.61,32.38,24.64,12.03,11.35,37.32,37.4,43.58,56.23
Profit before tax,76.76,137.9,157.99,105.3,139.39,140.48,104.32,63.74,208.66,359.58
Tax,19.75,46.68,53.76,34.83,46.82,48.56,14.2,18.67,48.55,36.38
Net profit,57.01,91.22,104.24,70.47,92.56,91.92,90.11,45.07,160.11,323.2
Dividend Amount,34.22,34.22,45.62,36.5,,49.69,63.24,35.34,70.67,44.17
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,636.37,601.45,593.92,614.33,654.47,681.53,698.19,674.22,709.33,736.67
Expenses,523.08,483.9,478.97,523.07,561.44,578.25,584.1,572.3,617.49,642.32
Other Income,1.77,8.97,10.51,15.86,2.96,15.92,136.9,8.88,6.27,2.41
Depreciation,39.57,38.39,40.83,33.37,38.39,42.11,45.28,48.92,52.21,56.75
Interest,9.81,11.55,11.77,12.05,13.94,15.07,13.28,16.27,18.52,21.32
Profit before tax,65.68,76.58,72.86,61.7,43.66,62.02,192.43,45.61,27.38,18.69
Tax,16.21,16.09,16.66,12.34,12.2,12.82,-0.75,11.66,7.67,5.03
Net profit,49.48,60.49,56.19,49.37,31.46,49.2,193.18,33.95,19.71,13.65
Operating Profit,113.29,117.55,114.95,91.26,93.03,103.28,114.09,101.92,91.84,94.35
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,85.54,85.54,91.24,91.24,90.34,90.34,90.34,88.34,88.34,88.34
Reserves,220.86,270.65,422.68,449.99,502.88,555.59,526.53,508.8,563.29,887.5
Borrowings,505.47,443.35,261.96,184.67,81.17,140.68,454.43,421.76,536.6,719.72
Other Liabilities,165.81,153.57,165.83,170.78,187.88,191.21,153.91,179.68,192.05,196.16
Total,977.68,953.11,941.71,896.68,862.27,977.82,1225.21,1198.58,1380.28,1891.72
Net Block,740.34,706.86,712.15,693.88,624.96,705.05,990.32,954.35,1097.99,1482.21
Capital Work in Progress,14.04,9.07,16.23,1.77,7.64,41.64,4.39,6.08,34.98,38.37
Investments,0.11,0.11,2.7,0.06,0.06,0.06,0.06,0.05,0.05,15.07
Other Assets,223.19,237.07,210.63,200.97,229.61,231.07,230.44,238.1,247.26,356.07
Total,977.68,953.11,941.71,896.68,862.27,977.82,1225.21,1198.58,1380.28,1891.72
Receivables,79.96,90.18,73.02,75.42,80.75,79.53,85.63,63.94,67.26,81.69
Inventory,13.48,15,18.33,18.32,24.13,29.8,29.27,39.51,45.86,52.79
Cash & Bank,15.09,16.61,19.59,12.25,19.35,13.14,13.41,18.96,14.49,75.24
No. of Equity Shares,85536000,85536000,91243495,91243495,90343495,90343495,90343495,88343495,88343495,88343495
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,203.26,235.28,264.2,197.98,205.48,192.19,257.28,271.62,370.76,318.34
Cash from Investing Activity,-91.07,-49.06,-107.2,-59.08,-44.22,-209.15,-118.55,-31.51,-180.13,-144.46
Cash from Financing Activity,-111.83,-184.69,-155.18,-145.72,-154.3,11.04,-138.43,-234.36,-200.75,-170.91
Net Cash Flow,0.36,1.53,1.81,-6.83,6.96,-5.92,0.31,5.76,-10.13,2.97
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,368.8,312.25,385,283.2,154.4,232.05,494.3,632.6
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,8.55,8.55,9.12,9.12,9.03,9.03,9.03,8.83,8.83,8.83
