COMPANY NAME,VST TILLERS TRACTORS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,3422.1,,,,,,,,,
Market Capitalization,2973.06,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,551.6,646.67,675.35,763.49,614.8,543.68,764.24,853.86,1006.43,968.05
Raw Material Cost,380.93,405.51,436.79,483.78,439.25,347.67,499.08,580.67,707.92,664.81
Change in Inventory,23.82,-15.63,-9.11,-9.97,31.77,-24.66,-10.33,2.53,3.24,7.31
Power and Fuel,3.7,3.75,3.9,4.35,4.4,2.71,3.11,3.94,,
Other Mfr. Exp,7.69,8.46,8.24,10.9,10.11,11.34,11.75,13.89,,
Employee Cost,40.69,45.56,56.2,69.13,66.54,68.78,82.37,71.18,79.09,86.28
Selling and admin,40.03,53.61,48.25,52.61,55.77,42.12,44.04,50.82,,
Other Expenses,2.05,1.07,11.52,12.9,15.62,16.4,18.91,11.16,95.45,100.08
Other Income,11.86,12.27,29.47,45.09,34.93,11.08,46.06,34.09,24.95,60.58
Depreciation,9.41,12.54,11.81,10.86,15.79,16.35,17.08,25.04,26.94,27.01
Interest,2.22,2.78,3.11,1.85,2.49,1.63,4.41,1.6,1.27,2.15
Profit before tax,100.56,110.03,115.89,152.23,71.53,23.1,119.22,132.18,123.95,155.61
Tax,31.04,35.9,33.17,40.25,25.47,5.1,28.45,32.87,31.58,34.1
Net profit,69.52,74.13,82.71,111.98,46.06,18.01,90.78,99.31,92.37,121.51
Dividend Amount,12.96,12.96,12.96,43.2,12.96,12.96,17.28,17.28,21.6,17.28
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,208.44,218.36,235.98,234.15,213.69,322.61,246.14,278.51,169.96,273.44
Expenses,178.15,188.21,218.96,201.83,190.37,268.06,214.43,235.4,160.42,233.61
Other Income,5.26,6.43,2.28,8.32,9.12,5.23,18.12,13.91,18.16,10.39
Depreciation,6.22,7.17,6.4,6.6,7.04,6.9,6.68,6.88,6.78,6.67
Interest,0.33,0.25,0.22,0.3,0.45,0.3,0.56,0.48,0.59,0.52
Profit before tax,29,29.16,12.68,33.74,24.95,52.58,42.59,49.66,20.33,43.03
Tax,7.95,7.06,2.63,11,5.52,12.43,9.6,13.21,3.38,7.91
Net profit,21.05,22.1,10.05,22.74,19.43,40.15,32.99,36.45,16.95,35.12
Operating Profit,30.29,30.15,17.02,32.32,23.32,54.55,31.71,43.11,9.54,39.83
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64
Reserves,354.9,411.47,491.38,587.73,581.26,568.27,658.93,740.9,815.81,915.43
Borrowings,,,,,,,,,1.89,1.35
Other Liabilities,108.6,113.3,131.07,189.41,158.35,151.73,217.79,216.51,264.45,241.87
Total,472.14,533.41,631.09,785.78,748.25,728.64,885.36,966.05,1090.79,1167.29
Net Block,134.69,126.99,146.8,158.11,205.65,206.24,248.08,265.94,261.38,249.91
Capital Work in Progress,2.1,2.83,10.3,56.83,34.79,47.68,25.38,12,14.11,5.24
Investments,95.16,136.29,188.1,204.12,165.25,156.46,312.25,413.58,429.85,484.45
Other Assets,240.19,267.3,285.89,366.72,342.56,318.26,299.65,274.53,385.45,427.69
Total,472.14,533.41,631.09,785.78,748.25,728.64,885.36,966.05,1090.79,1167.29
Receivables,93.9,123.77,132.28,186.11,96.4,96.16,81.81,67.57,149.24,155.16
Inventory,100.18,80.37,70.7,78.39,123.66,102.27,106.93,100.63,107.91,117.8
Cash & Bank,18.4,27.68,36.57,17.3,18.83,25.83,31.93,31.29,28.14,46.73
No. of Equity Shares,8639528,8639528,8639528,8639528,8639528,8639528,8639528,8639528,,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,25.98,85.18,86.5,33.37,43.18,72.34,155.17,124.83,36.43,
Cash from Investing Activity,-12.94,-42.77,-74.51,-36,11.03,-33.01,-147.99,-109.63,-31.57,
Cash from Financing Activity,-17.28,-33.76,-2.98,-16.7,-53.98,-32.7,-1.52,-18.83,-19.13,
Net Cash Flow,-4.24,8.65,9.02,-19.33,0.23,6.63,5.66,-3.62,-14.27,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,1249,1488.8,1795.55,2513.7,1314.2,668.45,1792.95,2400.7,2274.35,3239.85
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86
