COMPANY NAME,VAIBHAV GLOBAL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,376.25,,,,,,,,,
Market Capitalization,6238.94,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1298.27,1375.52,1276.65,1438.94,1570.66,1813.98,1986.47,2540.07,2752.43,2690.91
Raw Material Cost,413.44,490.11,418.07,536.21,592.98,653.61,699.11,917.21,1145.44,962.44
Change in Inventory,-17.09,44.13,26.43,33.84,28.84,49.34,2.16,14.53,168.06,-21.41
Power and Fuel,2.25,3.19,3.58,4.5,4.54,4.6,4.36,3.97,3.14,3.68
Other Mfr. Exp,52.47,59.06,56.72,123.21,133.15,155.44,147.11,152.75,147.2,154.76
Employee Cost,207.48,217.19,235.06,251.19,271.96,338.14,359.92,437.76,511.1,517.22
Selling and admin,445.4,514.85,517.55,192.73,201.07,247.05,264.81,389.8,433.57,364.68
Other Expenses,17.33,1.29,13.75,278.55,247.37,261.23,251.41,282.71,398.57,467.09
Other Income,34.45,12.92,16.91,15.52,10.47,14.17,14.44,17.53,49.99,27.63
Depreciation,7.47,11.88,23.65,29.41,25.45,24.61,31.36,39.14,54.81,77.75
Interest,14.5,7.33,6.82,6.41,4.3,4.66,8.65,4.63,6.1,8.2
Profit before tax,155.29,127.67,44.79,66.09,129.15,188.15,236.34,344.16,270.55,141.31
Tax,2.75,24.51,4.97,1.51,16.68,33.98,46.08,72.41,33.44,36.16
Net profit,152.53,103.16,39.82,64.58,112.47,154.17,190.26,271.78,237.71,104.96
Dividend Amount,3.38,9.36,,,,32.66,108.91,81.35,98.28,98.94
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,634.79,750.41,685.19,628.27,646.26,723.67,692.72,658.25,705,888.34
Expenses,567.97,665.47,646.82,586.21,596.4,662.22,646.46,600.16,641.51,794.91
Other Income,5.92,-0.69,5.38,1.85,2.2,14.42,9.16,7.43,3.42,1.66
Depreciation,12.89,14.37,16.58,17.41,18.5,19.62,22.23,22.24,22.62,23.46
Interest,1.55,1.63,2.16,1.5,2.39,1.51,2.8,2.79,2.91,3.2
Profit before tax,58.3,68.25,25.01,25,31.17,54.74,30.39,40.49,41.38,68.43
Tax,16.17,-1.05,-1.93,5.42,8.13,15.57,7.05,10.92,12.35,21.34
Net profit,42.18,69.55,27.21,19.62,22.93,38.91,23.39,29.68,29.37,47.43
Operating Profit,66.82,84.94,38.37,42.06,49.86,61.45,46.26,58.09,63.49,93.43
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,32.18,32.38,32.5,32.53,32.58,32.66,32.28,32.54,32.76,32.98
Reserves,200.8,295.55,334.86,401.85,517.57,664.01,719.04,931.3,1094.01,1168.32
Borrowings,124.32,76.2,112.01,84.54,66.58,66.4,101.74,124.49,164.76,193.32
Other Liabilities,121.15,126.06,139.9,157.04,146.1,179.43,237.94,306.82,394.03,391.76
Total,478.45,530.19,619.27,675.96,762.83,942.5,1091,1395.15,1685.56,1786.38
Net Block,66.14,75.86,125.8,126.19,119.75,115.86,154.17,162.57,467.03,506.52
Capital Work in Progress,,1.16,2.82,,,1.39,8.58,29.32,26.66,4.88
Investments,2.95,3.08,3.63,4.62,11.51,18.01,81.73,280.08,84.17,34.29
Other Assets,409.36,450.09,487.02,545.15,631.57,807.24,846.52,923.18,1107.7,1240.69
Total,478.45,530.19,619.27,675.96,762.83,942.5,1091,1395.15,1685.56,1786.38
Receivables,66.36,47.51,66.48,96.03,129.01,117.78,134.8,167.11,231.5,240.38
Inventory,196.15,228.29,297.48,303.62,351.59,396.13,420.17,445.96,619.46,642.51
Cash & Bank,72.06,96.26,55.64,74.64,67.48,225.97,175.45,188.33,106.98,239.22
No. of Equity Shares,32175618,32380206,32515131,32545617,32584390,32662384,32275073,32536798,163798614,164822085
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,177.63,115.15,-24.6,74.17,40.85,204.25,213.5,325.8,87.94,127.15
Cash from Investing Activity,-67.56,-2.75,-42.24,-25.6,-22.55,-22.04,-184.48,-266.83,-44.8,43.03
Cash from Financing Activity,-107.97,-63.68,30,-29.89,-24.2,-22.81,-184.39,-57.49,-72.15,-102.67
Net Cash Flow,2.1,48.72,-36.84,18.68,-5.9,159.4,-155.37,1.48,-29,67.51
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,128.28,160.17,64.06,77.1,137.82,128.21,154.18,768.38,373.95,272.85
,,,,,,,,,,
DERIVED:,,,,,,,,,,
