COMPANY NAME,VALOR ESTATE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,193,,,,,,,,,
Market Capitalization,10379.34,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,318.2,263.44,205.9,140.91,119.86,365.21,169.19,24.56,219.43,698.24
Raw Material Cost,,,35.98,,,,,,,
Change in Inventory,52.59,311.6,312.94,147.92,414.28,165.41,-32.06,223.98,65.2,-765.83
Power and Fuel,0.37,4.03,0.52,0.44,0.58,0.5,0.41,,,
Other Mfr. Exp,288.37,498.98,387.86,282.51,538.58,493.38,53.77,206.85,189.65,494.09
Employee Cost,12.16,18.23,21.91,19.87,22.4,14.4,10.99,8.73,6.96,12.7
Selling and admin,26.26,33.54,26.75,27.16,19.49,30.95,18.55,8.98,10.87,24.79
Other Expenses,2.45,3.48,104.55,41.85,191.29,91.95,288.9,132.97,174.93,115.4
Other Income,26.99,29.02,140.02,141.99,73.8,-33.52,96.94,282.3,526.69,708.87
Depreciation,8.25,14.32,14.37,10.79,5.89,1.91,1.19,1.32,0.69,0.42
Interest,37.83,52.83,86.15,95.6,119.02,160.3,260.94,333.81,285.72,54.41
Profit before tax,22.09,-21.35,-19.23,-47.4,-289.31,-296.29,-400.68,-161.82,142.5,-60.53
Tax,5.89,-23.87,3.73,26.98,11.66,-49.14,38.82,5.03,120.72,29.47
Net profit,11.55,0.57,-18.46,-59.72,-250.62,-265.16,-418.41,-169.73,26.93,-90.38
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,8.8,8.03,195.66,6.94,10.16,622.8,58.35,2.43,68.02,142.8
Expenses,124.76,28.74,155.44,19.93,25.42,1271.74,102.73,11.57,19.02,62.52
Other Income,15.73,6.6,527.04,39.42,598.99,45.49,31.96,6.26,915.3,401.07
Depreciation,0.19,0.15,0.14,0.09,0.11,0.12,0.11,0.13,0.09,13.6
Interest,190.83,22.13,6.2,12.47,8.76,13.48,19.7,21.78,23.38,5.09
Profit before tax,-291.25,-36.39,560.92,13.87,574.86,-617.05,-32.23,-24.79,940.83,462.66
Tax,60.85,-0.05,54.51,5.42,9.07,5.66,9.32,1.12,47.09,0.02
Net profit,-352.5,-34.49,506.3,12,568.67,-619.44,-51.62,-22.55,884.2,464.27
Operating Profit,-115.96,-20.71,40.22,-12.99,-15.26,-648.94,-44.38,-9.14,49,80.28
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,243.26,243.26,243.26,243.26,243.26,243.26,243.26,243.26,259.06,352.15
Reserves,3167.71,3168.27,2595.31,2531.05,2259.88,1996.5,1314.16,1092.54,1260.65,1534.45
Borrowings,657.53,1195.34,1269.6,1549.27,1687.17,2040.47,2127.8,2458,3662.04,2897.78
Other Liabilities,1441.33,1863.33,1887.67,2188.03,2455.77,2702.47,3012.13,3551.04,3579.52,3663.29
Total,5509.83,6470.2,5995.84,6511.61,6646.08,6982.7,6697.35,7344.84,8761.27,8447.67
Net Block,455.46,480.79,242.9,430.88,353.45,347.65,211.71,152.99,75.02,72.13
Capital Work in Progress,28.36,30.32,29.83,,0.15,,,,,
Investments,1699.4,1706.68,1561.63,1556.01,1730.27,1741.26,1509.52,1399.34,1563.56,1727.96
Other Assets,3326.61,4252.41,4161.48,4524.72,4562.21,4893.79,4976.12,5792.51,7122.69,6647.58
Total,5509.83,6470.2,5995.84,6511.61,6646.08,6982.7,6697.35,7344.84,8761.27,8447.67
Receivables,157.58,136.2,57.76,78.31,56.04,90.19,84,74.61,223.4,68.55
Inventory,1621.3,2304.83,2172.61,2321.57,2734,2244.11,2158.68,2381.43,3348.03,2582.19
Cash & Bank,38.95,18.77,22.09,11.66,26.56,9.65,12.15,20.38,112.07,61.96
No. of Equity Shares,243258782,243258782,243258782,243258782,243258782,243258782,243258782,243258782,259058782,352154782
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,236.14,-208.41,-71.43,554.58,-40.5,-194.85,227,95.2,-266.62,96.34
Cash from Investing Activity,-225.57,-230.75,-393.59,-587.97,164.93,-36.23,-159.62,-165.41,274.52,-199.58
Cash from Financing Activity,0.67,416.91,472.29,-93.54,-102.37,326.01,-62.57,75.45,86.22,51.7
Net Cash Flow,11.24,-22.25,7.28,-126.93,22.06,94.93,4.82,5.24,94.12,-51.54
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,60.45,66.8,42.75,41.7,46.05,19.6,5.05,24.2,105.15,64.5
,,,,,,,,,,
DERIVED:,,,,,,,,,,
