COMPANY NAME,VARDHMAN TEXTILES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,426.85,,,,,,,,,
Market Capitalization,12370.55,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,6740.69,5848.38,6029.95,6248.27,6877.92,6735,6139.87,9622.34,10137.49,9504.68
Raw Material Cost,3349.96,2817.06,3021.19,3442.43,3586.67,3613.2,3193.76,4966.37,5916.42,5497.42
Change in Inventory,-140.35,-10.07,90.82,37.87,-9.06,58.25,-66.7,405.66,-13.45,-96.4
Power and Fuel,716.03,643.77,596.13,627.09,709.14,754.87,606.63,762.46,876.78,
Other Mfr. Exp,593.56,493.17,545.73,506.2,514.78,554.12,452.38,679.42,718.48,
Employee Cost,448.37,433.79,478.85,506.26,550.23,595.93,590.11,729.06,767.23,839.98
Selling and admin,255.4,168.58,159.81,173.71,183.49,187.61,217.4,363.6,296.78,
Other Expenses,119.26,105.63,119.76,127.49,130.79,150.17,199.05,253.18,224.36,2097.67
Other Income,161.49,158.32,590.72,214.86,238.65,186.61,222.19,264.01,232.5,368.59
Depreciation,532.21,374.25,343.4,240,254.02,333.22,363.81,367.51,394.43,404.59
Interest,124.87,88.86,128.68,118.19,119.65,135.27,113.32,99.72,102.15,102.28
Profit before tax,622.17,871.52,1317.94,759.63,1058.74,655.47,558.9,2070.69,1059.91,834.93
Tax,176.52,247.45,323.67,167.19,318.19,64.5,131.99,519.65,255.16,198.23
Net profit,400.21,614.59,981.41,581.19,730.72,577.52,414.35,1546.7,795.16,631.59
Dividend Amount,62.52,91.38,82.36,84.64,98.84,,98.98,966.28,99.56,113.78
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,2603.18,2707.11,2811.83,2469.58,2370.47,2485.61,2318.3,2397.46,2329.51,2459.41
Expenses,1983.78,2207.86,2286.27,2111.66,2191.94,2223.64,2102.86,2192.1,2085.3,2151.21
Other Income,72.95,60.01,31.66,40.72,76.75,83.38,103.12,98.2,86.08,81.19
Depreciation,92.36,92.19,93.14,98.77,98.62,103.9,104.67,103.71,99.41,96.8
Interest,21.48,28.97,26.26,24.86,20.61,30.42,32.38,22.01,19.37,28.52
Profit before tax,578.51,438.1,437.82,275.01,136.05,211.03,181.51,177.84,211.51,264.07
Tax,147,117.52,105.27,68.1,30.63,51.16,44.91,41.73,49.65,61.94
Net profit,428.59,322.12,329.12,204.9,102.4,158.74,136.47,134.3,160.23,200.59
Operating Profit,619.4,499.25,525.56,357.92,178.53,261.97,215.44,205.36,244.21,308.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,62.52,60.92,54.91,56.43,56.48,56.52,56.56,56.84,56.89,56.9
Reserves,3312.77,3938.97,4218.32,4897.27,5535,5991.35,6411.7,7646.92,8506.55,9043.23
Borrowings,2640.16,2630.26,2238.36,2321.48,2277.66,2220.87,2132.33,1983.2,1677.63,1791.93
Other Liabilities,1362.98,883.16,990.41,970.7,1149.22,1087.08,1021.56,1293.37,1094.24,1088.73
Total,7378.43,7513.31,7502,8245.88,9018.36,9355.82,9622.15,10980.33,11335.31,11980.79
Net Block,2875.33,2627.01,2590.59,2630.9,3201.09,3628.43,3529.03,3494.02,3937.43,3769.02
Capital Work in Progress,83.24,86.01,49.03,105.71,273.68,141.64,77.96,241.21,51.02,60.79
Investments,868.62,1312.63,1868.32,1833.67,1345.73,1144.91,1074.53,1691.06,2548.84,1699.06
Other Assets,3551.24,3487.66,2994.06,3675.6,4197.86,4440.84,4940.63,5554.04,4798.02,6451.92
Total,7378.43,7513.31,7502,8245.88,9018.36,9355.82,9622.15,10980.33,11335.31,11980.79
Receivables,809.51,777.59,733.5,757.53,803.08,821,1038.62,1321.24,1190.99,1220.26
Inventory,1915.75,1925.12,1753.76,2258.43,2612.39,2683.35,2801.26,2883.52,2395.43,4179.89
Cash & Bank,202.76,278.87,44.65,73.76,43.85,279.89,211.5,121.71,374.22,87.79
No. of Equity Shares,62518000,60919138,54905335,56429987,56474687,56515287,56515287,284202305,284465305,
New Bonus Shares,,,,,,,,,129710320,
Face value,10,10,10,10,10,10,10,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,1412.3,915.09,1350.28,103.32,498.98,849.41,167.68,1444.58,1852.84,
Cash from Investing Activity,-315.23,-451.41,-343.19,-167.3,-277.51,-379.02,-115.89,-899.19,-1444.7,
Cash from Financing Activity,-975.06,-364.83,-1180.16,92.07,-251.79,-295.59,-174,-571.4,-399.17,
Net Cash Flow,122.01,98.85,-173.07,28.09,-30.32,174.8,-122.21,-26.01,8.97,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
