COMPANY NAME,VARROC ENGINEERING LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,483.85,,,,,,,,,
Market Capitalization,7389.64,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,6769.99,7909.22,9298.79,10278.83,12036.47,11121.87,4373.88,5844.2,6863.07
Raw Material Cost,,4239.8,5100.44,6071.91,6412.72,7602.34,7019.36,2862.81,3903.48,4445.55
Change in Inventory,,46.74,51.19,35.16,30.03,26.41,33.21,72.06,54.12,15
Power and Fuel,,174.68,186.64,193.12,211.14,243.35,235.67,133.44,185.41,224.6
Other Mfr. Exp,,449.96,570.31,651.49,757.06,823.2,710.76,383.79,494.74,558.97
Employee Cost,,902.25,1039.93,1203.75,1313.52,1501.49,1637.19,509.77,619.26,717.3
Selling and admin,,396.25,440.71,454.52,568.93,639.45,536,172.78,263.54,277.55
Other Expenses,,89.87,54.28,176.82,164.53,194.28,200.03,45.35,71.66,107.4
Other Income,,228.88,73.29,172.34,107.51,122.24,94.45,-556.04,-995.84,-792.71
Depreciation,,253.97,292.25,337.08,386.47,565.64,731.86,273.79,304.55,336.74
Interest,,475.48,-42.65,90.4,86.17,96.85,139.17,88.94,118.35,190.3
Profit before tax,,63.35,391.79,327.2,515.83,518.52,39.49,-580.77,-1058.51,-773.05
Tax,,46.54,21.98,13.71,65.06,89.85,36.98,47.87,48.23,44.07
Net profit,,16.81,369.82,313.1,450.26,425.22,0.19,-631.91,-1109.88,-819.84
Dividend Amount,,2.74,3.36,40.11,6.16,60.66,40.44,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1508.61,1488.61,1651.99,1628.28,1834.11,1722.77,1690.06,1805.69,1886.81,1884.59
Expenses,1394.69,1414.2,1546.98,1514.71,1690.27,1581.98,1533.93,1623.01,1692.55,1709
Other Income,-287.71,-255.23,-242.83,-71.21,-762.78,3.94,29.7,-9.3,14.8,34
Depreciation,73.2,78.51,83.58,85.41,77.26,81.9,92.17,80.16,84.89,89.27
Interest,24.8,35.38,37.08,37.58,48.79,51.4,52.53,48.9,50.26,49.56
Profit before tax,-271.79,-294.71,-258.48,-80.63,-744.99,11.43,41.13,44.32,73.91,70.76
Tax,25.43,0.55,26.48,3.53,49.77,-10.35,1.11,10.21,18.2,-313.14
Net profit,-298.28,-295.98,-285.32,-84.84,-795.02,20.4,39.62,32.26,54.23,382.69
Operating Profit,113.92,74.41,105.01,113.57,143.84,140.79,156.13,182.68,194.26,175.59
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,9.61,9.61,11.46,12.31,13.48,13.48,15.28,15.28,15.28
Reserves,,1072.88,1736.64,2171.89,2814.52,3052.94,2991.05,3012.63,1973.44,960.92
Borrowings,,1651.24,1600.29,1508.24,1193.12,2432.17,4255.06,3694.6,1625.18,1806.11
Other Liabilities,,1694.74,1886.07,2155.79,2781.55,3142.44,3644.1,4369.37,7375.13,1831.58
Total,,4428.47,5232.61,5847.38,6801.5,8641.03,10903.69,11091.88,10989.03,4613.89
Net Block,,2054.43,2390.43,2395.52,2803.95,3559.82,5282.93,5230.59,2045.84,2051.3
Capital Work in Progress,,177.5,315.3,292.54,344.07,999.47,790.13,856.23,139.81,134.68
Investments,,22.34,11.96,292.73,359.55,362.05,330.26,376.25,387.62,420.65
Other Assets,,2174.2,2514.92,2866.59,3293.93,3719.69,4500.37,4628.81,8415.76,2007.26
Total,,4428.47,5232.61,5847.38,6801.5,8641.03,10903.69,11091.88,10989.03,4613.89
Receivables,,1071.45,1185.2,1138.29,1402.73,1349.51,1089.33,1640.74,517.53,597.1
Inventory,,586.1,682.89,753.47,864.1,890.38,1075.82,1256.46,615.59,671
Cash & Bank,,69.03,177.08,354.05,328.94,163.43,1068.77,745.23,117.78,327.12
No. of Equity Shares,,9613502,9613502,11460417,123127760,134811530,134811530,152786400,152786400,152786400
New Bonus Shares,,,,,,,,,,
Face value,,10,10,10,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,128.34,290.49,676.5,1074.85,473.95,1413.69,473.71,635.58,660.61
Cash from Investing Activity,,-285.58,-575.3,-576.69,-545.29,-1769.07,-1259.24,-613.19,-761.96,-422.46
Cash from Financing Activity,,70.31,386.08,93.65,-523.18,1128.94,733.12,-152.18,-334.86,-216.03
Net Cash Flow,,-86.94,101.27,193.46,6.38,-166.18,887.57,-291.66,-461.24,22.12
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,579,127.65,364.85,345.75,249.35
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,1.05,1.05,1.23,12.31,13.48,13.48,15.28,15.28,15.28
