COMPANY NAME,VOLTAS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,1276.05,,,,,,,,,
Market Capitalization,42212.95,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,5183.09,5719.8,6032.8,6404.38,7124.07,7658.08,7555.78,7934.45,9498.77,12481.21
Raw Material Cost,3580.78,4027.85,4426.14,4462.11,5541.78,5857.23,5299.16,6074.91,7104.62,10205.19
Change in Inventory,-16.66,-59.3,190.25,-105.41,279.55,302.29,-279.3,178.25,-273.56,391.15
Power and Fuel,5.78,7.46,14.51,10.39,11.22,12.79,9.69,11.95,15.16,
Other Mfr. Exp,13.89,55.88,58.49,58.05,77.69,92.82,89.29,92.18,93.75,
Employee Cost,589.92,635.14,618.43,586.73,641.86,671.72,601.68,617.62,667.21,778.76
Selling and admin,285.87,341.33,368.35,404.66,399.96,439.89,366.41,416.38,500.49,
Other Expenses,279.66,248.96,188.19,114.35,170.7,267.96,329.86,327.28,390.36,1552.4
Other Income,154.42,260.95,211.82,178.5,173.96,179.41,188.86,188.05,-77.27,253.26
Depreciation,28.04,26.35,24.45,24.35,23.98,31.96,33.89,37.26,39.62,47.59
Interest,23.26,15.8,16.04,11.92,32.98,21.1,26.15,25.87,29.59,55.88
Profit before tax,513.65,562.68,720.27,804.91,677.41,744.31,709.21,697.3,307.14,485.8
Tax,127.62,169.58,200.41,227.01,163.53,223.26,180.42,191.3,170.92,237.69
Net profit,384.34,387.09,517.43,572.4,507.91,517.18,525.14,504.09,135.01,252
Dividend Amount,74.41,86.01,115.78,132.32,132.32,132.32,165.4,181.94,140.59,181.94
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1793.59,2666.58,2768,1768.36,2005.61,2956.8,3359.86,2292.75,2625.72,4202.88
Expenses,1669.95,2434.42,2621.96,1696.43,1961.86,2766.8,3205.55,2255.64,2633.39,4050.62
Other Income,28.75,37.2,26.75,-42.05,-106.73,46.66,69.97,70.98,57.89,54.42
Depreciation,9.7,9.45,8.49,9.7,11.05,10.38,11.26,11.68,12.84,11.81
Interest,3.62,12.51,3.98,6.74,6.43,12.44,10.11,11.45,13.53,20.79
Profit before tax,139.07,247.4,160.32,13.44,-80.46,213.84,202.91,84.96,23.85,174.08
Tax,42.51,64.69,50.8,19.48,30.03,70.61,73.49,49.31,51.45,63.44
Net profit,95.98,182.7,108.88,-7.41,-110.38,143.92,129.29,36.68,-30.41,116.44
Operating Profit,123.64,232.16,146.04,71.93,43.75,190,154.31,37.11,-7.67,152.26
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,33.07,33.08,33.08,33.08,33.08,33.08,33.08,33.08,33.08,33.08
Reserves,2069,2778.01,3273.54,3872.13,4076.91,4247.13,4960.27,5466.48,5418.99,5787.42
Borrowings,122.06,270.74,170.94,142.29,314.65,219.27,260.61,360.83,650.58,743.63
Other Liabilities,2662.23,2787.62,2991.28,3248.91,3090.75,3656.58,3401.52,3873.59,4171.08,5471.59
Total,4886.36,5869.45,6468.84,7296.41,7515.39,8156.06,8655.48,9733.98,10273.73,12035.72
Net Block,268.83,276.07,299.89,297.15,343.04,380.39,387.98,383.68,524.67,547.75
Capital Work in Progress,4.42,1.29,0.55,4.08,15.66,26.28,8.81,59.29,98.25,367.51
Investments,1093.89,1974.78,2267.87,2753.59,2385.86,2343.29,3046.43,3615.39,3108.64,3508.25
Other Assets,3519.22,3617.31,3900.53,4241.59,4770.83,5406.1,5212.26,5675.62,6542.17,7612.21
Total,4886.36,5869.45,6468.84,7296.41,7515.39,8156.06,8655.48,9733.98,10273.73,12035.72
Receivables,1338.6,1367.22,1454.11,1570.28,1803.17,1827.25,1800.93,2109.67,2191.85,2532.76
Inventory,867.06,724.68,907.03,812.99,1090.66,1468.94,1279.6,1661.39,1591.97,2135.38
Cash & Bank,251.63,185.48,331.43,283.69,321.11,308.41,458.79,571.67,708.38,852.32
No. of Equity Shares,330884740,330884740,330884740,330884740,330884740,330884740,330884740,330884740,330884740,
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,310.55,219.08,428.1,325.3,-321.43,462.45,556.11,584.23,159.38,761.51
Cash from Investing Activity,-103.64,-314.88,-73.32,-199.19,392.73,-210.49,-255.91,-364.63,-81.6,-522.36
Cash from Financing Activity,-236.03,48.34,-211.49,-181.39,-18.25,-293.66,-121.51,-107.04,55.05,-116.32
Net Cash Flow,-29.12,-47.46,143.29,-55.28,53.05,-41.7,178.69,112.56,132.83,122.83
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
