COMPANY NAME,WELSPUN CORP LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,573.9,,,,,,,,,
Market Capitalization,15006.89,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,7704.73,8450.49,7235.5,5898.71,6347.01,8953.48,9956.76,7152.56,6505.11,9758.1
Raw Material Cost,4654.94,5812.06,4410.34,4212.76,4363.79,6287.46,7358.29,4243.97,4305.09,8892.99
Change in Inventory,-314.82,-24.42,-21.14,172.56,-35.9,10.71,823.49,-515.49,-452.95,1639.01
Power and Fuel,110.15,110.21,116.76,106.26,91.33,113.28,122.31,197.81,162.39,305.61
Other Mfr. Exp,809.05,840.49,951.14,666.91,699.2,949.58,1172.8,758.86,203.58,446.39
Employee Cost,529.82,531.81,558.03,430.99,417.67,572.64,637.03,455.46,384.54,542.02
Selling and admin,231.69,249.11,242.37,120.18,115.38,156.43,141.17,111.12,479.57,666.66
Other Expenses,384.36,27.18,148.98,15.05,150.62,241.15,185.97,85.8,44.01,49.41
Other Income,174.01,95.6,99.38,138.59,128.41,-105.94,281.14,629.36,544.22,385.73
Depreciation,406.3,436.5,386.48,386.08,258.16,259.73,233.29,246.47,254.75,302.97
Interest,296.4,283.03,241.14,235.71,170.15,177.37,144.02,84.95,101.89,243.16
Profit before tax,141.21,231.28,258.5,35.92,173.22,100.61,1066.51,1081.99,660.56,333.63
Tax,43.16,17.74,79.22,25.8,20.21,122.25,412.45,255.34,216.39,134.46
Net profit,73.39,69.04,151.81,26.43,158.3,-13.26,635.47,767.58,438.81,206.69
Dividend Amount,13.15,13.16,13.26,13.26,13.26,13.26,273.92,130.44,130.48,130.77
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1542.11,1441.81,2011.06,1321.82,1963.81,2402.32,4070.15,4069.27,4059.45,4749.71
Expenses,1426.87,1347.18,1939.85,1292.95,2095.04,2235.94,3649.6,3712.43,3659.93,4286.74
Other Income,54.14,57.57,415.41,76.27,190.61,37.5,90.81,49.51,226.67,61.76
Depreciation,63.47,64.17,63.38,61.25,70.04,80.44,91.24,85.87,85.68,89.55
Interest,23.01,27.21,29.93,30.57,47.46,70.42,94.71,92.32,74.98,62.5
Profit before tax,82.9,60.82,393.31,13.32,-58.12,53.02,325.41,228.16,465.53,372.68
Tax,27.43,22.22,129.75,14.27,5.06,29.8,85.33,59.71,78.96,78.98
Net profit,62.7,45.79,236.14,4.11,-56.59,23.24,235.93,165.39,384.67,291.86
Operating Profit,115.24,94.63,71.21,28.87,-131.23,166.38,420.55,356.84,399.52,462.97
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,131.47,131.59,132.61,132.61,132.61,132.61,130.44,130.44,130.48,130.77
Reserves,2717.76,2667.23,2666.28,2676.82,2721.42,2665.03,3084.8,3952.31,4297.84,4582.37
Borrowings,3823.52,3020.55,2643.72,1842.98,1386.43,1304.7,1060.75,970.1,1654.51,3345.09
Other Liabilities,2157.4,3998.14,3194.69,3594.53,3452.45,4097.39,3667.07,2638.83,3086.02,7215.42
Total,8830.15,9817.51,8637.3,8246.94,7692.91,8199.73,7943.06,7691.68,9168.85,15273.65
Net Block,4923.11,4661.86,3730.46,3355.89,3045.8,1567.38,1617.12,2599.04,2433.24,4909.98
Capital Work in Progress,114.57,80.08,34.44,32.23,16.57,46.98,82.51,147.23,1261.27,86.9
Investments,1139.81,804.86,1017.35,725.28,487.62,475.6,783.55,1712.61,2306.72,1537.17
Other Assets,2652.66,4270.71,3855.05,4133.54,4142.92,6109.77,5459.88,3232.8,3167.62,8739.6
Total,8830.15,9817.51,8637.3,8246.94,7692.91,8199.73,7943.06,7691.68,9168.85,15273.65
Receivables,637.38,1130.05,1400.67,1465.19,1314.06,1180.69,1247.03,668.8,812.56,1140.47
Inventory,1281.53,2208.21,1293.19,1764.66,1511.86,2222.76,2268.2,1212.99,1019.46,5686.16
Cash & Bank,140.83,332.75,555.56,229.62,628.19,670.42,513.59,258.89,701.48,1202.29
No. of Equity Shares,262948300,263176080,265226109,265226109,265226109,265226109,260884395,260884395,260949395,261529395
New Bonus Shares,,,,,,,,,,
Face value,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,227,901.13,354.29,402.52,981.36,623.33,648.13,774.49,218.47,-185.13
Cash from Investing Activity,-228.76,337.71,-326.34,618.1,184.19,-254.64,-48.89,-847.68,-200.8,-347.5
Cash from Financing Activity,-526.53,-1105.83,-98.7,-978.69,-760.88,-335.3,-743.09,-198.12,452.74,908.76
Net Cash Flow,-528.29,133.01,-70.75,41.92,404.68,33.39,-143.85,-271.31,470.41,376.13
