COMPANY NAME,WELSPUN ENTERPRISES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,355.95,,,,,,,,,
Market Capitalization,4928.81,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,243.45,825.63,189.39,305.44,1067.13,1786.6,1807.59,1529.51,1342.33,2758.19
Raw Material Cost,69.6,656.67,107.22,69.59,14.15,17.32,8.62,6.05,63.71,390.12
Change in Inventory,-19.08,73.2,-2.02,,,,,,,
Power and Fuel,1.24,7.39,4.39,3.95,4.19,5.21,2.68,3.52,9.08,14.09
Other Mfr. Exp,77.81,101.87,42.59,178.97,847.86,1439,1440.4,1137.84,910.33,1751.37
Employee Cost,28.57,46.94,29.05,30.12,51.91,81.01,87.41,83.21,110.23,150.24
Selling and admin,13.05,53.74,33.66,31.47,50.98,46.6,52.5,115.55,92.48,185.22
Other Expenses,24.47,32.87,17.06,23.13,20.75,18.68,25.18,19.19,9.28,20.3
Other Income,-2.24,237.96,82.79,77.96,95.2,93.35,111.84,142.01,103.32,668.08
Depreciation,35.43,88.16,27.34,20.9,23.59,11.49,22.54,15.99,15.93,13.1
Interest,39.69,137.99,12.82,10.17,33.17,53.66,77.36,110.45,82.9,118.76
Profit before tax,-67.73,11.16,-3.97,15.1,115.73,206.98,202.74,179.72,151.71,783.07
Tax,-6.72,10.48,-4.6,10.14,46.3,80.22,51.61,49.54,25.61,57.01
Net profit,-61.01,0.67,0.63,4.96,69.43,126.69,148.88,128.99,124.7,722.76
Dividend Amount,,,,11.05,22.13,29.62,29.69,22.33,22.47,127.48
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,290.55,224.32,476.21,690.2,530.49,692.4,845.08,698.73,645.73,706.71
Expenses,264.53,210.71,401.86,654.75,482.69,624.15,750.25,593.54,563.21,580.97
Other Income,24.94,23.97,32.73,49.28,120.88,381.22,117.21,50.51,43.84,29.27
Depreciation,4.25,4.05,4.25,3.29,3.21,2.66,3.94,3.29,5.86,9.33
Interest,20.39,20.07,22.5,23.94,27.1,31.2,36.51,26.71,26.64,28.1
Profit before tax,26.32,13.46,80.33,57.5,138.37,415.61,171.59,125.7,93.86,117.58
Tax,3.82,0.52,15.34,8.4,5.39,14.05,29.18,32.9,24.85,37.66
Net profit,22.27,12.55,64.53,48.42,132.14,400.7,141.48,91.77,62.03,71.55
Operating Profit,26.02,13.61,74.35,35.45,47.8,68.25,94.83,105.19,82.52,125.74
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,40,173.32,174.04,147.29,147.53,148.08,148.46,148.86,149.78,149.98
Reserves,418.51,1341.6,1246.92,1111.12,1191.15,1305.54,1430.99,1535.61,1641.3,2206.03
Borrowings,324.54,447.36,94.21,150.3,459.83,592.08,812.07,2236.98,2526.28,763.55
Other Liabilities,78.09,155.39,100.58,211.89,400.76,843.91,724.78,861.41,1570.73,1980.73
Total,861.14,2117.67,1615.75,1620.6,2199.27,2889.61,3116.3,4782.86,5888.09,5100.29
Net Block,534.91,500.89,168.64,110.11,26.88,80.43,107.03,102.55,1871.15,69.7
Capital Work in Progress,25.73,215.46,63.81,63.81,63.81,120.13,63.81,1403,63.81,6.55
Investments,90.81,954.35,1109.97,801.33,1118.09,933.41,947.55,804.11,812.01,1557.84
Other Assets,209.69,446.97,273.33,645.35,990.49,1755.64,1997.91,2473.2,3141.12,3466.2
Total,861.14,2117.67,1615.75,1620.6,2199.27,2889.61,3116.3,4782.86,5888.09,5100.29
Receivables,46.9,33.45,37.35,19.18,34,280.69,186.74,134.52,137.68,325.82
Inventory,5.88,3.72,2.98,2.96,0.71,0.73,0.68,4.89,48.07,86.41
Cash & Bank,16.85,70.1,38.12,306.52,77.63,149.66,148.88,214.35,277.18,541.6
No. of Equity Shares,40000000,173320535,174040535,147293056,147533056,148083056,148458056,148864056,149783056,149783056
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-11.47,-9.72,-17.43,-23.65,-287.3,-116.22,-57.94,8.74,287.07,344.67
Cash from Investing Activity,88,691.05,161.14,327.07,-250.29,-138.92,-49.54,-917.52,-487.06,1196.79
Cash from Financing Activity,-55.85,-101.81,-35.67,-122.18,267.68,52.66,105.95,753.06,124.66,-203.68
Net Cash Flow,20.68,579.53,108.04,181.24,-269.91,-202.48,-1.53,-155.72,-75.33,1337.78
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,10.55,31.6,47.4,83.5,141.35,106.45,39.75,108.8,73,125.55
,,,,,,,,,,
DERIVED:,,,,,,,,,,
