COMPANY NAME,WELSPUN LIVING LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,139.1,,,,,,,,,
Market Capitalization,13517.86,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,5264.2,5923.85,6637.9,6049.99,6526.62,6741.09,7340.18,9311.47,8093.76,9679.24
Raw Material Cost,2613.05,2631.96,2983.54,2699.96,3080.12,3384.91,3454.44,4897.03,3977.83,5268.03
Change in Inventory,68.73,-27.41,194.38,-67.57,-10.99,88.1,157.11,123.6,-294.19,158.15
Power and Fuel,118.71,133.72,206.9,158.56,202.8,222.1,209.46,294.21,463.25,
Other Mfr. Exp,489.24,559.76,873.35,808.45,879.26,574.43,905.49,1011.13,761.55,
Employee Cost,446.28,537.04,637.78,675.9,712.04,778.9,823.81,867.82,795.22,1027.4
Selling and admin,376.11,393.61,492.8,468.18,495.76,554.59,666.9,940.26,953.82,
Other Expenses,11.85,41.43,54.34,47.66,77.16,99.59,85.17,63.09,95.36,2173.05
Other Income,91.43,84.17,-384.37,80.91,-186.51,138.51,67.84,63.16,121.39,145.94
Depreciation,332.93,371.82,505.42,504.17,435.76,481.09,453.64,420.47,442.14,394.49
Interest,282.9,236.8,158.26,140.76,159.28,177.7,197.51,131.25,129.88,153.41
Profit before tax,753.29,1074.47,535.52,559.69,286.94,694.39,768.71,872.97,301.91,966.95
Tax,209.01,325.35,173.14,161.49,60.77,170.04,217.91,266.26,99.4,294.21
Net profit,539.79,736.5,357.56,384.97,209.83,507.37,539.67,601.17,198.83,681.1
Dividend Amount,105.48,130.61,65.31,65.31,30.14,100.47,15.07,14.82,9.88,9.72
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,2418.17,2227.09,1957.25,2113.46,1869.15,2153.9,2184.05,2509.08,2410.87,2575.24
Expenses,2107.44,2000.63,1805.44,1984.94,1675.46,1875.48,1873.64,2151.08,2072.01,2216.59
Other Income,-16.15,20.19,21.8,23.2,34.92,41.57,30.81,33.49,43.1,41.53
Depreciation,106.7,111.45,104.94,109.51,114.16,113.53,99.41,98.5,100.35,96.23
Interest,20.81,26.29,32.3,28.4,35.91,33.27,25.83,33.84,41.93,51.81
Profit before tax,167.07,108.91,36.37,13.81,78.54,173.19,215.98,259.15,239.68,252.14
Tax,36.01,57.66,15.01,5.48,34.71,44.2,53.25,58.74,60.63,121.59
Net profit,132.39,52.19,22.39,8.67,42.38,125.39,161.6,196.72,176.78,146
Operating Profit,310.73,226.46,151.81,128.52,193.69,278.42,310.41,358,338.86,358.65
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,100.46,100.47,100.47,100.47,100.47,100.47,100.47,98.81,98.81,97.18
Reserves,1331.39,1869.58,2296.68,2505.2,2678.85,2871.58,3544.21,3872.87,3989,4418.63
Borrowings,3085.09,3247.81,3311.37,3280.71,3310.39,3520.88,2940.27,3303.95,2461.82,2632.24
Other Liabilities,1178.4,1258.21,1549.59,1300.61,1592.68,1701.18,1980.81,2036.16,1977.8,2401.99
Total,5695.34,6476.07,7258.11,7186.99,7682.39,8194.11,8565.76,9311.79,8527.43,9550.04
Net Block,2627,3348.42,3689.03,3459.87,3305.72,3932.79,3814.11,4005.34,3917.88,3815.05
Capital Work in Progress,156.42,183.2,56.35,82.87,488.92,58.06,173.05,165.95,45.96,46.77
Investments,141.99,28.51,125.73,128.24,126.94,244.39,111.12,697.82,641.51,916.36
Other Assets,2769.93,2915.94,3387,3516.01,3760.81,3958.87,4467.48,4442.68,3922.08,4771.86
Total,5695.34,6476.07,7258.11,7186.99,7682.39,8194.11,8565.76,9311.79,8527.43,9550.04
Receivables,446.7,849.9,960.06,930.99,1076.81,1086.16,1181.7,999.29,960.46,1254.7
Inventory,1100.63,1104.64,1281,1305.38,1334.23,1528.72,1773.1,1977.87,1969.83,2071.79
Cash & Bank,325.23,124.3,162.81,165.63,173.12,230.45,399.09,265.53,181.37,254.81
No. of Equity Shares,100459805,1004724050,1004725150,1004724050,1004724050,1004725150,1004725150,988058484,988058484,
New Bonus Shares,,,,,,,,,,
Face value,10,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,939.08,1327.99,832.19,545.02,806.87,777.22,953.56,586.68,755.97,532.84
Cash from Investing Activity,-606.3,-801.11,-715.45,-299.74,-539.72,-457.58,-97.12,-599.56,244.29,-209.21
Cash from Financing Activity,-324.92,-619.81,-99,-249.96,-231.91,-268.9,-762.13,-54.73,-1085.95,-268.56
Net Cash Flow,7.87,-92.93,17.75,-4.68,35.24,50.74,94.31,-67.61,-85.69,55.07
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
