COMPANY NAME,WESTLIFE FOODWORLD LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,849,,,,,,,,,
Market Capitalization,13251.98,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,764.33,833.43,930.79,1134.87,1402.04,1547.79,986.03,1576.49,2278.18,2391.81
Raw Material Cost,317.75,333.3,366.31,424.97,511.59,538.24,348.28,512.94,686,710.69
Change in Inventory,,,,,,,,,,
Power and Fuel,83.82,83.77,85.16,94.34,104.35,113.95,73.3,97.36,135.13,
Other Mfr. Exp,41.25,45.38,59.24,74.68,218.16,155.77,167.1,286.32,365.43,
Employee Cost,113.66,124.02,140.73,171.55,197.45,219.6,178.68,209.97,311.15,328.54
Selling and admin,162.43,169.1,199.23,242.67,170.14,184.71,120.06,176.37,263.85,
Other Expenses,26.28,30.21,30.2,42.16,75.76,116.76,37.62,96.07,134.51,983.25
Other Income,12.49,28.08,17.06,10.63,8.03,-8.35,34.44,19.5,12.28,18.46
Depreciation,50.44,57.65,63.72,67.26,79.72,138.36,139.65,136.4,152.19,182.22
Interest,10.22,14.99,15.38,15.01,17.73,80.82,84.52,82.63,92.75,109.72
Profit before tax,-29.03,3.09,-12.12,12.86,35.17,-8.77,-128.74,-2.07,149.45,95.85
Tax,0.09,0.26,,,13.88,-1.43,-29.31,-0.4,37.87,26.63
Net profit,-29.11,2.83,-12.12,12.86,21.29,-7.35,-99.42,-1.67,111.58,69.21
Dividend Amount,,,,,,,,,53.8,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,476.83,455.07,537.92,572.43,611.45,556.37,614.54,614.73,600.25,562.28
Expenses,397.48,392.15,450.66,476.5,509.26,467.7,510.38,516.51,508.23,487.35
Other Income,4.27,13.11,1.81,5.19,7.75,5.59,5.28,3.3,4.7,5.18
Depreciation,34.75,34.63,35.79,36.63,38.56,41.2,42.85,43.94,45.5,49.94
Interest,21.01,20.86,21.52,22.54,23.37,25.33,26.01,27.38,28.12,28.21
Profit before tax,27.86,20.54,31.76,41.95,48.01,27.73,40.58,30.2,23.1,1.96
Tax,7.04,5.23,8.18,10.41,11.64,7.64,11.76,7.84,5.85,1.19
Net profit,20.82,15.32,23.58,31.54,36.37,20.09,28.83,22.37,17.24,0.76
Operating Profit,79.35,62.92,87.26,95.93,102.19,88.67,104.16,98.22,92.02,74.93
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,31.11,31.11,31.11,31.12,31.12,31.13,31.16,31.19,31.19,31.19
Reserves,502.5,506.99,496.41,511.14,552.55,545.89,450.07,430.92,534.73,557.07
Borrowings,134.23,149.5,190.4,183.52,233.92,965.93,967.99,1054.56,1203,1362.53
Other Liabilities,105.46,150.24,162.37,203.34,206.44,220.1,274.41,280.88,329.99,335
Total,773.3,837.84,880.29,929.12,1024.03,1763.05,1723.63,1797.55,2098.91,2285.79
Net Block,464.19,502.46,530.74,553.92,595.22,1408.56,1284.27,1362.27,1622.95,1816.98
Capital Work in Progress,20.91,18.43,17.16,19.74,28.37,22.58,25.6,35.53,56.68,44.7
Investments,148.07,156.15,170.02,184.28,204.02,157.08,198.44,150.42,129.85,138.03
Other Assets,140.13,160.8,162.37,171.18,196.42,174.83,215.32,249.33,289.43,286.08
Total,773.3,837.84,880.29,929.12,1024.03,1763.05,1723.63,1797.55,2098.91,2285.79
Receivables,4.24,4.2,4.92,6.43,9.76,4.73,8.79,13.31,10.69,17.33
Inventory,24.08,27.82,30.24,33.68,40.99,41.14,46.53,55.95,71.43,63.24
Cash & Bank,7.26,6.95,7.06,10.94,9.21,2.99,11.01,23.24,28.41,14.12
No. of Equity Shares,155533595,155551795,155569005,155587945,155668665,155668665,155802865,155926665,155936165,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,18.77,79.87,65.67,137.12,112.14,199.63,129.24,170.58,348.52,
Cash from Investing Activity,-84.15,-80.14,-91.46,-111.39,-145.18,-67.62,-74.19,-56.47,-265.32,
Cash from Financing Activity,60.57,-0.25,26,-21.73,31.8,-138.68,-45.32,-101.85,-98.07,
Net Cash Flow,-4.8,-0.52,0.2,3.99,-1.24,-6.67,9.73,12.26,-14.88,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,290,195,213.55,320,428.7,323,459.7,479.35,683.35,804.45
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,15.55,15.56,15.56,15.56,15.56,15.57,15.58,15.59,15.59,15.59
