COMPANY NAME,WHIRLPOOL OF INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1418.05,,,,,,,,,
Market Capitalization,18009.46,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,4831.91,5397.65,5992.52,5899.89,6196.57,6667.65
Raw Material Cost,,,,,2883.48,3434.28,3886.43,3845.9,4040.5,4719.42
Change in Inventory,,,,,-115.29,59.75,236.53,101.95,-151.34,135.84
Power and Fuel,,,,,31.4,37.15,42.14,34.77,31.25,38.61
Other Mfr. Exp,,,,,15.21,42.4,53.8,46.18,76.91,91.13
Employee Cost,,,,,455.74,493.61,590.22,630.57,618.11,648.9
Selling and admin,,,,,1793.13,1852.55,2155.03,842.78,825.03,862.52
Other Expenses,,,,,-1023.04,-1044.76,-1171.92,80.74,37.77,72.25
Other Income,,,,,86.02,107.39,142.61,106.24,398.06,126.99
Depreciation,,,,,101.51,111.31,129.32,142.1,147.46,185.41
Interest,,,,,4.39,9.09,19.85,15.34,15.87,15.01
Profit before tax,,,,,540.82,629.16,666.79,469.7,650.39,297.23
Tax,,,,,190.15,219.42,176.6,117.87,83.02,73.22
Net profit,,,,,350.67,409.74,490.19,351.83,566.37,219.02
Dividend Amount,,,,,50.75,63.44,63.44,63.44,63.44,63.44
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1607.1,1541.95,1706.91,2081,1611.54,1302.46,1672.65,2038.59,1521.56,1535.65
Expenses,1477.7,1458.72,1559.35,1949.23,1522.63,1258.42,1567.03,1915.2,1448.41,1472.95
Other Income,350.72,17.76,13.41,31.72,22.34,40.97,32.29,34.86,33.89,35.53
Depreciation,32.64,38.2,43.52,46.69,41.53,44.9,52.29,52.18,49.16,47.45
Interest,5.91,1.68,4.6,2.68,2.73,4.03,5.57,7.49,5.6,8.53
Profit before tax,441.57,61.11,112.85,114.12,66.99,36.08,80.05,98.58,52.28,42.25
Tax,28.38,16.92,28.37,29.54,17.97,9.37,16.34,21.86,14.08,12.32
Net profit,413.19,43.85,83.82,83.73,47.93,24.69,62.68,74.88,36.58,27.99
Operating Profit,129.4,83.23,147.56,131.77,88.91,44.04,105.62,123.39,73.15,62.7
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,126.87,126.87,126.87,126.87,126.87,126.87
Reserves,,,,,1669.47,2018.51,2436.61,2731.44,3231.23,3393.49
Borrowings,,,,,,,,50.83,133.59,111.67
Other Liabilities,,,,,1429.47,1566.37,1836.86,2139.29,2142.04,2268.09
Total,,,,,3225.81,3711.75,4400.34,5048.43,5633.73,5900.12
Net Block,,,,,445.92,508.21,708.91,707.22,1803.42,1916.7
Capital Work in Progress,,,,,33.05,43.33,44.08,41.03,75.97,20.17
Investments,,,,,456.32,659.04,567.15,207.37,,
Other Assets,,,,,2290.52,2501.17,3080.2,4092.81,3754.34,3963.25
Total,,,,,3225.81,3711.75,4400.34,5048.43,5633.73,5900.12
Receivables,,,,,240.31,255.62,321.67,378.97,429.79,433.44
Inventory,,,,,810.12,888.6,1165.94,1273.78,1311.46,1508.17
Cash & Bank,,,,,981.85,1061,1284.01,2063.18,1616.48,1681.35
No. of Equity Shares,,,,,126870000,126870000,126870000,126870000,126870000,126870000
New Bonus Shares,,,,,,,,,,
Face value,,,,,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,384.24,402.48,380.22,524.14,97.77,269.65
Cash from Investing Activity,,,,,-415.12,-261.9,-71.98,337.59,-459.49,-101.36
Cash from Financing Activity,,,,,-46.48,-61.92,-87.19,-75.43,-88.57,-100.66
Net Cash Flow,,,,,-77.36,78.66,221.05,786.3,-450.29,67.63
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,1510.25,1515.1,1818.9,2226.6,1572.85,1315.05
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,12.69,12.69,12.69,12.69,12.69,12.69
