COMPANY NAME,WIPRO LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,455.9,,,,,,,,,
Market Capitalization,238462.06,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,46951,51244,55448.4,54487.1,59018.9,61137.6,61934.9,79312,90487.6,89760.3
Raw Material Cost,3440.7,3055.4,2556,1843.4,1407.3,936,695.7,673.5,649.4,383.2
Change in Inventory,258.8,60.5,-141.1,-50.5,67.3,-202.2,-31.5,36.9,-15,-27.8
Power and Fuel,293.2,,,,,,,,,
Other Mfr. Exp,5518.7,,,,,,,12186.8,13396.4,
Employee Cost,22511.5,24553.4,26808.1,27222.3,29977.4,32657.1,33237.1,45007.5,53764.4,54930.1
Selling and admin,3974,10517.7,13775.7,13853.3,14796.3,14350.4,12523.8,4665.4,5599.2,3309.4
Other Expenses,1172.5,2382.2,846.6,1130.5,1292.6,649.6,675.4,131.5,215.3,14357.3
Other Income,2449.7,2752.2,2622.6,2549.8,2613.8,2727.9,2403.7,2066.9,2265.7,2630.8
Depreciation,1174.9,1496.1,2310,2111.7,1946.7,2085.5,2763.4,3077.8,3340.2,3407.1
Interest,349.9,558.2,594.2,583,737.5,732.8,508.8,532.5,1007.7,1255.2
Profit before tax,11224.1,11493.7,11039.3,10242.2,11542.2,12251.9,13902.9,15140.8,14765.7,14721
Tax,2510.1,2536.6,2521.4,2239.1,2524.3,2480.1,3034.9,2897.4,3399.2,3608.9
Net profit,8660.9,8907.9,8493.1,8002.8,9003.7,9722.3,10796.4,12229.6,11350,11045.2
Dividend Amount,2962.2,1482.3,486.1,452.4,603.4,571.35,547.9,3289.2,548.8,522.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,20315,20860.7,21528.6,22539.7,23229,23190.3,22831,22515.9,22205.1,22208.3
Expenses,16134.3,16724.2,17670.7,18608,18689.8,18670.9,18627.4,18546.2,18006.8,17827.7
Other Income,484.1,502.1,472.4,512.3,649.1,631.6,640.5,739.8,597.9,652.9
Depreciation,745.9,734.5,773.8,796.9,922.9,846.6,738,897,931.6,840.5
Interest,140.3,171.7,204.5,227,290.2,286,308.6,303.3,312.5,330.8
Profit before tax,3778.6,3732.4,3352,3420.1,3975.2,4018.4,3797.5,3509.2,3552.1,3862.2
Tax,806.3,639.9,793.1,771,910.2,924.9,911.5,841.9,851.5,1004
Net profit,2969,3087.3,2563.6,2659,3052.9,3074.5,2870.1,2646.3,2694.2,2834.6
Operating Profit,4180.7,4136.5,3857.9,3931.7,4539.2,4519.4,4203.6,3969.7,4198.3,4380.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,493.7,494.1,486.1,904.8,1206.8,1142.7,1095.8,1096.4,1097.6,1045
Reserves,36598.3,45650.7,51184.1,47021.5,55215.8,54179,53805.2,64306.6,76570.3,73488
Borrowings,7891.2,12522.1,14241.2,13901.2,9946.7,9724,10451.4,17592.9,17466.6,16464.9
Other Liabilities,13366.7,12923.5,12760.8,13563.3,16217.1,15953.9,17213.4,24279.7,21789.2,23792.7
Total,58349.9,71590.4,78672.2,75390.8,82586.4,80999.6,82565.8,107275.6,116923.7,114790.6
Net Block,10837.1,17279.1,19886.5,18126.7,17464.7,22062.1,23040.3,37989.6,44756.8,43628
Capital Work in Progress,395.1,380.6,737.7,1377.7,2141.8,1881.1,1853.2,1601.5,617.1,723.4
Investments,5532.1,20915.1,29913.3,25796.8,22886.7,20032,18774.7,26153.8,33073.2,33384.4
Other Assets,41585.6,33015.6,28134.7,30089.6,40093.2,37024.4,38897.6,41530.7,38476.6,37054.8
Total,58349.9,71590.4,78672.2,75390.8,82586.4,80999.6,82565.8,107275.6,116923.7,114790.6
Receivables,9154.8,9961.4,9484.6,10099,10048.9,10447.4,9429.8,11521.9,12635,11547.7
Inventory,484.9,539,391.5,337,395.1,186.5,106.4,133.4,118.8,90.7
Cash & Bank,16619,9904.9,5271,4492.5,15852.9,14449.9,16979.3,10383.6,9188,9695.3
No. of Equity Shares,2469043038,2470713290,2430900565,4523784491,6033935388,5713357390,5479138555,5482070115,5487917741,
New Bonus Shares,,,,2433074327,1508469180,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,7840.4,7887.3,9277.3,8423.3,11631.6,10064.3,14755,11079.7,13060.1,17621.6
Cash from Investing Activity,-2536.8,-13760.7,-11769.5,3595.3,5065.2,3593.4,684.9,-22321.3,-8169.2,1168
Cash from Financing Activity,-829.7,-158.7,-2275.2,-12997.8,-4936.9,-15099.8,-12884,4658.6,-6088.1,-18256.7
