COMPANY NAME,YATHARTH HOSPITAL & TRAUMA CARE SERVICES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,432.7,,,,,,,,,
Market Capitalization,3725.01,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,71,77.81,91.33,136.03,215.25,374.88,477.67
Raw Material Cost,,,,6.73,8.36,9.35,14.45,,,
Change in Inventory,,,,-8.33,-9.11,,,,,
Power and Fuel,,,,3.4,3.93,4.66,6.96,9.33,12.19,13.71
Other Mfr. Exp,,,,0.68,0.81,31.01,42.57,54.32,93.8,115.91
Employee Cost,,,,15.22,17.18,20.47,26.81,46.55,80.36,91.89
Selling and admin,,,,21.98,26.58,15.19,15.96,49.06,96.49,159.66
Other Expenses,,,,-2.96,-6.46,-9.39,-9.15,-12.06,-19.93,-38.66
Other Income,,,,0.18,0.38,0.24,0.14,0.52,1.65,2.81
Depreciation,,,,6.77,5.91,8.38,21.29,20.56,27.87,27.51
Interest,,,,5.93,5.01,6.88,19.77,19.89,22.65,22.78
Profit before tax,,,,5.1,7.76,5.02,-2.49,28.12,63.1,87.68
Tax,,,,2.07,1.81,1.04,-0.44,8.53,18.94,21.91
Net profit,,,,3.03,5.96,3.98,-1.3,18.16,44.16,65.77
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,,,,111.07,127.89,137.55,143.79,154.51,171.28,166.79
Expenses,,,,85.39,94.37,101.47,105.32,113.1,125.71,120.37
Other Income,,,,0.59,0.75,0.8,0.68,0.76,3.82,5.38
Depreciation,,,,6.07,6.28,6.9,8.26,6.87,6.88,7.85
Interest,,,,4.5,4.98,5.96,5.95,5.93,2.94,0.17
Profit before tax,,,,15.7,23.01,24.02,24.94,29.37,39.57,43.78
Tax,,,,4.7,6.81,2.78,7.62,10.33,11.97,14.3
Net profit,,,,11,16.2,21.25,17.32,19.04,27.6,29.49
Operating Profit,,,,25.68,33.52,36.08,38.47,41.41,45.57,46.42
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,13.7,15.9,16.38,16.38,16.38,65.52,65.52
Reserves,,,,28.87,41.06,39.22,37.91,56.08,51.37,117.45
Borrowings,,,,85.14,124.79,175.28,193.62,193.41,263.78,267.41
Other Liabilities,,,,10.39,10.9,25.68,39.29,42.9,45.36,35.59
Total,,,,138.1,192.65,256.56,287.2,308.77,426.03,485.97
Net Block,,,,54.12,53.49,164.01,189.48,250.81,303.1,298.52
Capital Work in Progress,,,,63.75,109.55,65.07,61.61,,,
Investments,,,,,,,,,,
Other Assets,,,,20.23,29.61,27.48,36.11,57.96,122.93,187.45
Total,,,,138.1,192.65,256.56,287.2,308.77,426.03,485.97
Receivables,,,,11.24,9.28,11.93,16.9,36.77,85.54,107.64
Inventory,,,,1.94,2.03,2.26,2.86,3.39,5.2,6.07
Cash & Bank,,,,2.38,11.77,0.48,1.76,5.15,12.08,38.44
No. of Equity Shares,,,,13701975,15896975,16379225,16379225,16379225,65516900,65516900
New Bonus Shares,,,,,,,,,49137675,
Face value,,,,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,24.95,17.09,17.46,39.23,43.67,59.94,63.78
Cash from Investing Activity,,,,-50.37,-50.97,-77.82,-43.28,-21.24,-52.11,-20.31
Cash from Financing Activity,,,,26.08,43.27,47.38,5.32,-19.05,-1.12,-17.75
Net Cash Flow,,,,0.67,9.39,-12.98,1.27,3.39,6.71,25.73
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,1.37,1.59,1.64,1.64,1.64,6.55,6.55
