COMPANY NAME,ZEE ENTERTAINMENT ENTERPRISES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,132.15,,,,,,,,,
Market Capitalization,12674.4,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,4421.7,4883.7,5812.5,6434.2,6685.7,7933.9,8129.9,7729.9,8185.7,8087.9
Raw Material Cost,,,,,,,,,,
Change in Inventory,299.1,13.8,130.2,378.2,-1824.9,-2276.6,-3126.1,-3063.9,-2827.2,-3042.1
Power and Fuel,14.5,15.5,15.9,15.8,18.1,18.5,19.1,15.8,15.1,19.1
Other Mfr. Exp,2386.6,2190.6,2746.8,3178.1,733.8,840.5,755.2,730.9,1210,1414.2
Employee Cost,389.5,449.8,498.6,606.1,667.9,727.2,784.2,822.6,868.3,886.9
Selling and admin,627.4,891.8,1140,999.7,1278.1,1364.2,1225.8,1131.9,1392.3,1510.3
Other Expenses,96.2,89.9,114.4,289.7,82.1,142.8,960,358.3,96,108.4
Other Income,178.4,221.7,183.3,1430.3,564.8,235.5,112.3,-28.9,-111.2,-459.5
Depreciation,50.1,67.3,77.7,115.2,182.1,234.7,270.6,264.9,221.3,312.7
Interest,15.8,10.3,159.8,137.2,144.8,130.4,144.9,57.1,43.8,70.2
Profit before tax,1319.1,1404,1372.8,2900.9,2318.7,2434.5,956.3,1255.6,1400.5,264.5
Tax,429.1,428.5,549.1,680.8,840.9,867.3,431.7,462.5,444.7,216.7
Net profit,892.1,977.5,823.2,2221.3,1479.1,1567.1,526.5,800.1,964.6,47.8
Dividend Amount,211.2,216,216,240,278.4,336,28.8,240.25,288.3,384.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1978.79,2112.64,2322.09,1843.15,2023.9,2108.75,2112.11,1983.8,2437.79,2045.77
Expenses,1575.46,1638.66,1796.65,1574.73,1708.99,1737.15,1960.38,1825.02,2105.04,1836.5
Other Income,17.72,2.47,-99.26,-19.63,-53.91,-186.87,-198.78,-113.37,-54.81,-27.45
Depreciation,59.82,59.42,60.36,71.38,74.34,83.69,83.34,78.52,77.23,76.14
Interest,2.19,2.96,37.67,8.05,9.57,12.98,39.64,23.43,23.4,18.34
Profit before tax,359.04,414.07,328.15,169.36,177.09,88.06,-170.03,-56.54,177.31,87.34
Tax,92.96,115.09,146.22,62.76,64.2,63.74,26,-3.12,54.35,28.8
Net profit,270.16,298.73,181.93,106.6,112.89,24.32,-196.03,-53.42,122.96,58.54
Operating Profit,403.33,473.98,525.44,268.42,314.91,371.6,151.73,158.78,332.75,209.27
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,96,96,96,96,96,96,96,96.1,96.1,96.1
Reserves,2624.7,3434.6,4707.9,6594.4,7465.7,8827.9,9247.9,9998.5,10766.7,10625.8
Borrowings,2.9,2.2,1715.9,2203.1,381.9,373.6,352.1,423.1,76.3,282
Other Liabilities,3308.1,3473,1446.1,1364,3186.1,3635.5,2721.6,2301,2300.5,2724.4
Total,6031.7,7005.8,7965.9,10257.5,11129.7,12933,12417.6,12818.7,13239.6,13728.3
Net Block,1073.3,1137.6,1332.6,915.6,1476.1,1414.5,1314.8,1191.2,1225.1,1359.7
Capital Work in Progress,99.7,87.8,110.4,155.7,91.9,156.1,83.1,75.4,87.2,19.1
Investments,829,975.5,1147.8,1343.1,1528.9,976.5,324.8,798.3,65.1,34.9
Other Assets,4029.7,4804.9,5375.1,7843.1,8032.8,10385.9,10694.9,10753.8,11862.2,12314.6
Total,6031.7,7005.8,7965.9,10257.5,11129.7,12933,12417.6,12818.7,13239.6,13728.3
Receivables,1028.1,1069.2,1348.2,1241.8,1536.5,1827.4,2128.6,1945.2,1737.5,1608.8
Inventory,1173.6,1187.8,1318,1696.2,2627.8,3850.5,5347.5,5403,6386.2,7307.9
Cash & Bank,564.4,736.5,963.1,2613.3,1611.7,1221.8,734.5,1090.7,1273.3,804
No. of Equity Shares,960448720,960448720,960448720,960448720,960453620,960466500,960466500,960504475,960504475,960519420
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,382.9,680.9,730.9,740.6,554.4,135.2,249.9,1547.7,279.9,129
Cash from Investing Activity,-204.7,-164.9,16.2,1325.2,-1041.3,864.4,397.3,-511.3,585.6,-201.5
Cash from Financing Activity,-144.4,-342.7,-404.6,-413.8,-1090.2,-966.4,-1062,-540.8,-715.3,-408.3
Net Cash Flow,33.8,173.3,342.5,1652,-1577.1,33.2,-414.8,495.6,150.2,-480.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
