COMPANY NAME,ZOMATO LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,195.25,,,,,,,,,
Market Capitalization,172250.34,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,466.02,1312.59,2604.74,1993.8,4192.4,7079.4
Raw Material Cost,,,,,,18.72,110.52,202.9,552.4,1438.2
Change in Inventory,,,,,,2.13,1.6,11,27.8,43
Power and Fuel,,,,,2.41,3.17,6.29,1.9,4,23.4
Other Mfr. Exp,,,,,49.81,1339.7,2108.91,74.5,183.3,383.7
Employee Cost,,,,,290.49,600.79,798.88,740.8,1633.1,1465
Selling and admin,,,,,182.17,1514.3,1756.34,1435,3654.4,4962
Other Expenses,,,,,33.59,81.52,130.1,16.8,43.8,60.7
Other Income,,,,,21.03,1285.05,15.97,-200.2,792.6,681.6
Depreciation,,,,,29.15,43.12,84.24,137.7,150.3,436.9
Interest,,,,,6.35,8.69,12.64,10.1,12,48.7
Profit before tax,,,,,-106.92,-1010.24,-2385.61,-815.1,-1220.5,-1014.6
Tax,,,,,,,,1.3,2,-43.6
Net profit,,,,,-103.68,-964.95,-2367.16,-812.8,-1208.7,-971.3
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1024.2,1112,1211.8,1414,1661,1948.2,2056,2416,2848,3288
Expenses,1560,1600.9,1661.5,1721,1973,2314.4,2282,2464,2895,3237
Other Income,142.4,463.5,130.5,168,170,173.4,171,181,212,219
Depreciation,38.4,38.7,37.7,42,107,154.8,134,130,128,128
Interest,3.1,3.1,2.5,5,12,16.1,15,18,16,18
Profit before tax,-434.9,-67.2,-359.4,-186,-261,-363.7,-204,-15,21,124
Tax,,,0.3,,-10,-17.1,-16,-17,-15,-14
Net profit,-429.6,-63.2,-359.7,-186,-251,-346.6,-189,2,36,138
Operating Profit,-535.8,-488.9,-449.7,-307,-312,-366.2,-226,-48,-47,51
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,0.03,0.03,0.03,,764.3,836.4
Reserves,,,,,1036.06,2355.61,457.35,7643.8,15741.2,18623.4
Borrowings,,,,,11.85,104.22,73.18,72.5,70.3,506.6
Other Liabilities,,,,,326.55,953.02,2369.83,987.2,751.2,1632.3
Total,,,,,1374.49,3412.88,2900.39,8703.5,17327,21598.7
Net Block,,,,,189.8,389.08,1590.55,1539,1404.3,6342.8
Capital Work in Progress,,,,,1.29,0.74,0.96,0.1,0.6,7.5
Investments,,,,,829.23,2144.55,323.92,2205.2,4717.7,6764.6
Other Assets,,,,,354.17,878.51,984.96,4959.2,11204.4,8483.8
Total,,,,,1374.49,3412.88,2900.39,8703.5,17327,21598.7
Receivables,,,,,26.08,70.34,123.12,129.9,159.9,456.9
Inventory,,,,,,2.13,3.73,14.8,39.7,82.7
Cash & Bank,,,,,208.07,238.69,359.88,903.6,1575.5,1016.8
No. of Equity Shares,,,,,337694,337694,337694,309711,7642940578,8363975413
New Bonus Shares,,,,,,,,,,
Face value,,,,,1,1,1,,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,,-2143.63,-1017.9,-693,-844
Cash from Investing Activity,,,,,,,1739.51,-5244.6,-7971,797.2
Cash from Financing Activity,,,,,,,358.91,6401.9,8749.8,-127.4
Net Cash Flow,,,,,,,-45.22,139.4,85.8,-174.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,82.3,51
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,0.03,0.03,0.03,0.04,787.19,855.35
