S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,ROE %
1,Ksolves India,1081.8,37.45,1282.06,2.17,9.58,33.43,30.36,35.17,197.29,147.16
2,Visco Trade,329.2,4.77,158.1,0.3,5.27,159.75,37.31,32.4,52.74,137.47
3,Network People,1407.85,102.14,2729.25,0.0,16.56,260.77,75.11,207.14,122.86,93.33
4,Tips Industries,431.8,43.61,5545.46,1.39,25.76,40.53,63.26,21.61,106.57,80.57
5,ICICI Securities,725.5,13.81,23428.26,4.0,536.53,104.25,1543.17,74.41,19.74,50.09
6,Cams Services,3096.8,45.11,15207.01,1.22,96.96,35.49,287.07,21.25,56.59,46.3
7,R S Software (I),240.1,33.9,613.85,0.0,6.71,613.83,18.23,48.82,44.27,45.77
8,Netlink Solns(I),189.4,5.21,47.9,0.0,4.5,62.45,1.84,34.31,53.48,45.1
9,Jana Small Finan,629.6,9.78,6550.68,0.0,321.68,297.14,1111.08,30.94,9.83,43.84
10,Wealth First Por,927.8,23.33,988.58,0.32,13.59,1170.09,14.16,190.16,56.84,43.78
11,Angel One,2420.35,19.34,21769.24,1.65,339.94,27.34,1357.28,64.37,38.69,43.29
12,Guj. Toolroom,27.72,8.74,153.99,3.61,50.3,6790.41,376.3,22845.12,,42.12
13,Anand Rathi Wea.,3897.65,72.53,16317.71,0.31,56.86,32.83,184.28,28.9,50.74,40.28
14,Adit.Birla Money,123.3,13.15,696.48,0.0,16.46,123.34,114.06,73.05,12.54,38.96
15,K.P. Energy,449.95,51.45,3000.72,0.03,24.9,60.85,207.26,39.62,40.99,37.13
16,Spright Agro,36.75,158.85,1845.84,0.0,5.78,29000.0,43.76,1907.34,38.62,35.67
17,BIGBLOC Const.,247.7,57.1,1752.35,0.16,8.65,55.58,67.95,45.97,24.04,34.22
18,PNGS Gargi FJ,488.8,55.63,470.62,0.0,2.35,74.07,15.38,116.93,43.33,34.1
19,Zen Technologies,889.7,59.26,7479.82,0.02,37.58,64.92,141.39,47.47,46.34,33.12
20,Motil.Oswal.Fin.,2153.1,13.14,32082.08,0.65,724.6,338.96,2141.29,108.42,20.69,32.58
21,C D S L,2072.0,51.66,21652.4,0.77,129.42,104.85,240.78,92.98,40.18,31.31
22,KPIT Technologi.,1496.35,69.28,41032.46,0.27,165.92,46.78,1317.8,29.53,38.36,31.19
23,Trent,4407.95,151.46,156665.75,0.07,712.09,458.9,3297.7,51.08,25.63,31.05
24,Benares Hotels,9075.0,32.73,1179.75,0.22,11.59,52.7,35.58,29.38,40.35,30.97
25,Piccadily Agro,711.8,76.66,6715.07,0.03,43.34,818.22,268.89,34.55,29.59,30.67
