S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,Avg Vol 1Wk,Avg Vol 1Yr,1wk return %
1,Suratwwala Busi.,116.8,95.51,2023.77,0.0,6.54,-63.67,16.35,-57.03,75.99,1342371,171584,12.36
2,Wealth First Por,927.8,23.33,988.58,0.32,13.59,1170.09,14.16,190.16,56.84,31893,5681,22.11
3,Hindustan Zinc,456.1,24.73,192573.96,2.85,2042.0,-21.13,7550.0,-11.27,46.32,6896829,1196800,5.57
4,Marico,581.35,50.79,75219.99,1.63,320.0,5.3,2278.0,1.7,43.41,11371601,1740929,12.26
5,Spright Agro,36.75,158.85,1845.84,0.0,5.78,29000.0,43.76,1907.34,38.62,31200,3975,6.65
6,Madhusudan Masa,151.05,21.18,194.85,0.0,5.89,,107.94,,31.68,555400,92586,21.91
7,Allsec Tech.,994.55,23.56,1508.12,3.02,20.73,71.04,129.71,20.12,31.54,666944,62521,23.75
8,Gokul Agro,144.65,16.55,2140.53,0.0,33.68,-8.55,3345.61,21.98,28.21,2974499,312446,9.46
9,Peninsula Land,58.6,19.52,1808.4,0.0,32.21,206.18,142.61,-42.68,26.11,7786062,1479776,19.96
10,Bodhi Tree,18.37,41.56,229.82,0.27,0.28,-69.89,12.9,15.9,23.12,2430735,346361,7.6
11,Rane Brake Lin.,930.35,17.49,720.04,2.69,15.39,35.44,186.22,12.95,20.51,671763,48395,8.44
12,Blue Dart Expres,7092.75,55.96,16844.79,0.42,77.78,12.01,1322.87,8.74,19.86,195797,25503,13.65
13,Baheti Recycling,241.7,47.46,250.6,0.0,2.95,,206.74,,14.67,165900,24012,28.98
14,Kokuyo Camlin,160.4,38.15,1609.35,0.31,5.57,59.14,168.03,-2.7,12.05,2237991,324771,7.76
15,Rhetan TMT Ltd,12.5,182.77,996.1,0.0,1.45,,34.76,,11.03,5945321,452273,35.43
16,Mahalaxmi Rubtec,228.95,26.6,242.31,0.0,2.26,7.11,74.76,12.85,10.15,251383,47903,11.93
17,DU Digital,78.6,,548.16,0.0,0.05,,10.65,,8.99,279000,52265,6.29
18,Fischer Chemic,530.0,,2835.5,0.0,-0.13,-225.0,0.0,,8.7,1130,140,5.55
19,Mohite Industrie,50.74,17.17,101.99,0.0,0.47,-22.95,21.92,82.21,8.18,73277,8846,35.23
20,Centenial Surgic,150.47,56.04,54.92,0.0,0.31,10.71,12.38,-5.71,8.03,17991,1407,55.93
21,Transwar.Fin.,16.15,97.9,78.32,0.0,2.73,145.5,5.12,166.67,7.53,6325878,275290,39.83
22,Sarla Performanc,73.35,28.64,610.99,0.0,8.48,301.9,96.26,16.92,7.23,2737487,484642,6.35
23,Inani Marbles,26.9,,50.03,0.15,1.26,206.78,13.54,23.99,4.82,75827,11331,7.69
24,Cartrade Tech,922.2,73.5,4320.75,0.0,24.97,41.13,145.28,51.55,4.79,2859253,315254,27.65
25,Ashirwad Steels,61.99,34.29,77.49,0.0,0.9,63.64,0.86,168.75,4.07,50815,9940,45.86
