S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,RSI Rs.
1,Remedium Life,88.5,16.89,892.08,0.0,45.82,2914.47,1834.18,939.31,102.61,26.39
2,Dish TV India,15.7,13.76,2890.82,0.0,-2.83,0.7,470.27,-14.82,70.5,27.42
3,BLS E-Services,268.75,119.87,2440.04,0.0,7.95,-28.2,71.65,3.74,45.13,25.23
4,Angel One,2420.35,19.34,21769.24,1.65,339.94,27.34,1357.28,64.37,38.69,28.36
5,Sonata Software,518.55,35.39,14521.26,1.52,110.36,-3.0,2191.61,14.53,35.49,15.33
6,L&T Technology,4401.9,36.99,46553.33,1.02,329.3,2.05,2351.2,9.23,33.12,18.23
7,Monarch Networth,524.35,18.26,1773.65,0.19,38.56,175.23,75.81,59.5,31.19,29.71
8,Brightcom Group,12.9,1.85,2618.76,0.0,321.48,15.96,1690.32,14.16,30.91,27.17
9,Birlasoft Ltd,603.85,26.73,16672.44,0.58,180.08,60.54,1362.55,11.1,30.06,24.31
10,HCL Technologies,1320.05,22.82,358244.64,3.94,3995.0,0.13,28499.0,7.11,29.84,23.85
11,Persistent Sys,3354.0,47.4,51835.91,0.6,315.32,25.37,2590.53,14.91,29.8,27.68
12,Coforge,4301.75,33.3,26617.99,1.77,229.2,42.25,2358.5,8.69,28.32,15.77
13,India Pesticides,208.75,26.6,2402.34,0.36,24.41,-30.32,150.68,-30.77,27.8,29.19
14,Kewal Kir.Cloth.,635.05,26.54,3930.22,0.78,33.24,23.57,200.2,0.56,26.17,28.79
15,R Systems Intl.,409.55,36.76,4843.35,1.66,27.49,-23.3,416.64,3.11,26.03,29.57
16,Berger Paints,481.3,49.59,56092.99,0.55,300.16,49.12,2881.83,6.99,23.75,26.43
17,RBZ Jewellers Lt,134.25,24.01,537.0,0.0,6.78,14.33,115.8,25.31,23.65,28.08
18,Titan Company,3244.2,82.38,287997.92,0.31,771.0,5.62,12494.0,20.6,22.7,24.69
19,Cyient,1753.4,26.58,19439.98,1.48,196.9,7.82,1860.8,6.25,21.98,27.74
20,Adani Total Gas,878.55,144.5,96456.88,0.03,167.96,71.55,1166.95,4.68,21.21,29.45
21,Route Mobile,1406.9,24.43,8834.03,0.78,95.16,-14.73,1017.03,0.83,20.61,23.71
22,Black Box,213.1,21.67,3595.65,0.0,40.87,271.7,1655.47,-0.97,20.34,27.21
23,CEAT,2289.2,13.64,9249.69,0.52,102.27,1.87,2991.85,4.07,20.06,29.02
24,Transpek Inds.,1680.0,16.97,938.38,1.64,14.08,-43.04,148.32,-24.51,19.92,29.82
25,Sula Vineyards,496.75,44.29,4193.83,1.06,13.63,-17.64,117.49,6.33,18.67,28.11
